WNASEQ,LONDD,LATDD,ELEV,totsnopt,annp,Jan_Tmp,Jul_Tmp
47,-106.8,48.883,793,77.698,338,-13.8,19.5
48,-106.533,48.883,945,87.0252,357,-13.4,18.9
49,-106.233,48.867,945,87.7656,363,-13.3,18.9
50,-103.167,47.8,701,60.6463,382,-12.6,21
51,-102.7,47.967,671,67.8764,397,-12.9,20.7
52,-102.033,47.967,640,82.3043,436,-13.5,20.6
53,-101.733,47.967,640,84.6091,441,-13.6,20.6
54,-101.217,47.967,640,85.0321,440,-13.9,20.7
55,-116.75,55.633,622,156.0874,471,-18.4,15.4
56,-114.667,55.25,584,126.9,507,-16.1,15.5
57,-113.667,55.083,642,138.1192,512,-17.7,15.7
58,-112.75,54.5,704,135.4416,506,-17.5,15.4
59,-111.167,54.333,585,110.761,456,-17.9,16.1
60,-114.833,51.8,1206,106.8323,543,-11.2,13.8
61,-117.767,53.267,1113,182.1001,576,-11.2,13.6
62,-117.133,53.583,1054,133.6611,582,-11.4,14.3
63,-116.1,53.6,908,116.7062,560,-13.2,14.7
64,-116.833,54.45,783,128.9023,553,-12.1,15.6
65,-117.5,55.083,688,144.5877,496,-15.4,15.9
66,-115.667,54.467,1037,167.2168,594,-14.3,14.3
67,-117.5,57.5,655,139.3304,428,-19.8,15
68,-111.333,53.933,639,110.3771,448,-16.3,16.3
69,-114.167,53.55,726,123.3081,534,-12,16.4
70,-117.9,52.7,1238,388.8195,777,-11.6,12.6
71,-116.167,52.45,1395,172.2651,590,-11.5,12.5
72,-116.417,51.667,2225,682.1221,1077,-13.3,9
73,-115.333,51.25,1415,163.658,513,-12.8,13.2
74,-114.25,49.567,1202,234.3722,614,-8.5,14.9
75,-110.717,52.083,730,110.3163,387,-16.4,17.3
76,-110.4,51.45,766,75.1747,327,-13.6,17.9
77,-112.167,51.367,914,98.539,385,-14.1,17.6
78,-111.083,49.917,833,83.1015,337,-11,19.4
79,-112.417,49.8,820,87.7916,364,-9,18.5
80,-114.167,51.167,1203,96.9039,457,-10.3,15.3
81,-119.0083,37.5958,2816,522.321,750,-2.4,15.6
82,-119.0675,37.6625,2438,486.9773,756,-1.7,16.1
83,-109.517,42.317,2043,81.2785,251,-9.2,17.8
84,-108.867,42.45,2439,148.2569,340,-8.7,17.4
85,-108.717,42.55,2500,151.3608,349,-8.6,17.5
86,-108.5,42.95,1524,42.3036,239,-8.1,21.9
87,-108.117,43.367,1494,34.3673,211,-8.1,22.1
88,-108.183,43.467,1524,37.1713,212,-8.4,21.5
89,-108.117,43.8,1235,20.7298,174,-8.6,23.1
90,-107.533,44.017,1402,43.7483,247,-8,22.6
91,-107.25,44.167,2439,98.9684,362,-7.5,18.9
92,-107.133,44.167,2866,127.3389,388,-7.8,17.5
93,-106.933,44.317,2256,97.6387,377,-7.2,19.3
94,-106.733,44.333,1524,73.1933,360,-6.6,21
95,-105.533,44.283,1387,68.5605,395,-6.1,21.5
96,-105.167,44.267,1372,67.1475,395,-6,21.9
97,-104.917,44.3,1280,62.4813,399,-5.9,22.4
98,-104.183,44.533,1220,62.3731,410,-6.3,22.3
99,-103.717,44.333,1738,69.9903,417,-6.4,20.8
100,-103.417,44.417,976,52.0362,414,-5.8,22.5
101,-102.85,44.517,793,52.2692,410,-6.6,22.9
102,-102.45,44.583,854,55.0787,416,-7.2,22.7
103,-102.067,44.667,762,51.4172,404,-7.4,23
104,-102,45.033,793,53.0331,407,-8.1,22.6
105,-102,45.033,793,53.0331,407,-8.1,22.6
106,-101.2,45,732,48.8112,390,-8.5,23.2
107,-100.35,45.0667,579,48.8293,395,-9.6,23.6
108,-119.2583,37.9083,3018,710.4967,906,-3.7,12.6
109,-104,50.78,478,107.7217,434,-17.2,18.7
110,-107.2597,44.1786,2561,109.983,369,-7.7,18.4
111,-122.5472,49.3083,305,407.487,2275,0.5,16.2
112,-121.5,50.35,320,227.0687,527,-4.8,16.8
113,-112.7167,48.55,1233,73.9282,347,-8.1,17.2
114,-122.25,46.5917,282,333.9228,1998,1.4,15.8
115,-110.6,44.65,2530,296.4803,548,-11.8,13.4
116,-110.2333,43.9333,2628,296.4656,527,-10.5,13.5
117,-110.3,44.0667,2634,317.9203,551,-11.1,12.9
118,-110.6,43.75,2073,351.2896,609,-10.5,15
119,-110.3167,43.7667,2469,284.9172,515,-10.5,14
120,-110.2333,44.15,2730,306.8163,538,-11.1,12.8
121,-110.35,44.9333,1884,179.1982,448,-9.1,15.9
122,-117.8583,33.6583,2,0,292,13,21
123,-105.5,37.55,3523,218.9467,457,-11.3,11.1
124,-112,34,1125,0,491,7.1,27.5
125,-119.8333,37,2219,166.1899,458,-0.4,22.1
126,-111.1833,44.125,1840,254.463,532,-9.1,16.9
127,-110.7333,44.9167,2215,240.9921,515,-10.4,15.1
128,-102.3,49.8167,746,104.9303,435,-16,18.5
129,-114.52,50.18,2040,402.8214,761,-11.4,11.6
130,-116.33,50.75,1100,267.4102,605,-10.8,14.8
131,-119.0833,37,1683,50.7668,634,2.6,21.3
132,-119.5333,37.9,2743,695.4203,916,-3.6,14.3
133,-119.2603,37.1958,2015,140.0042,737,1.4,20.2
134,-119.8167,37.95,1554,94.7444,970,2.4,19.8
135,-107.6836,37.7458,3200,332.7668,648,-10.5,11.8
136,-107.6975,37.7378,3220,341.7459,660,-10.7,11.5
137,-107.8,37.4833,2690,226.8273,572,-7.2,16.3
138,-105.58,39.9367,2848,205.9088,462,-9.3,13.2
139,-107.8083,37.6125,2694,264.2033,608,-8.3,14.7
140,-116.4167,51.65,1940,573.1027,980,-13.2,9.9
141,-105.5417,40.0833,3095,229.0834,481,-9.4,12.7
142,-110.2836,44.49,2500,277.3737,514,-11.4,13.2
143,-101.5303,48.0081,620,86.6316,448,-13.9,20.7
144,-110.4822,47.6353,1019,70.845,367,-7.8,19.7
145,-116.35,51.3597,2015,716.264,1108,-13.2,9.2
146,-116.3125,51.3431,2280,809.5183,1186,-13.3,8.4
147,-112.2167,36.7167,2590,207.4021,464,-4.4,16.4
148,-107.0508,40.0242,3165,328.9651,564,-11.3,12.3
149,-111.6667,38.6167,2720,161.9713,385,-6.3,16.5
150,-105.5,37.7,2300,52.1676,312,-5.7,18.6
151,-111.7,37.95,2653,134.1005,335,-6.5,16.2
152,-131.76,52.93,650,407.4444,2811,1.8,12.1
153,-105.45,43.5,1450,63.5221,368,-5.3,21.6
154,-108.25,33.8667,2069,40.5544,366,-0.2,20.1
155,-108.25,33.8667,2069,40.5544,366,-0.2,20.1
156,-108.3,33.7,2080,40.3986,386,0.1,20.1
157,-119.625,37.725,1212,87.111,907,2.5,19.3
158,-131.9067,52.72,550,552.4078,3389,1.7,11.6
159,-132.4083,53.2667,595,470.7929,2502,1.4,11.8
160,-109.425,34,2780,147.3976,517,-3.6,14.4
161,-110.8333,34.333,2285,146.2697,573,-1.5,19
162,-119.9767,33.9564,0,0,400,11.8,16
163,-111,38,1370,26.1028,161,-2.7,24.6
164,-100.05,36.97,622,18.4718,556,-0.1,27.4
165,-100.5,37.25,762,19.632,533,-0.3,27.1
166,-101.38,38.05,920,20.1248,455,-1.4,26.2
167,-101.42,43,992,50.7002,435,-6,23.1
168,-101.42,43,992,50.7002,435,-6,23.1
169,-102,42.83,1082,43.8952,430,-5.5,22.7
170,-102.33,42.75,1082,41.732,447,-5.5,22.7
171,-103.83,42.75,1478,64.8417,406,-5.8,21.4
172,-104.33,42.75,1526,70.1901,401,-5.5,21
173,-105.3833,51.3111,556,82.0064,341,-16.3,18.8
174,-108.8833,52.8417,547,111.0551,396,-17.5,17.3
175,-105.5625,52.696,544,106.5172,411,-19,17.8
176,-105.2167,52.7167,494,115.1001,428,-19.2,17.7
177,-108.3667,53.583,762,122.1185,418,-19.4,15.8
178,-108.3667,53.583,762,122.1185,418,-19.4,15.8
179,-108.3667,53.583,762,122.1185,418,-19.4,15.8
180,-108.483,53.783,762,115.6162,421,-18.4,15.9
181,-105.8083,53.3458,494,106.2651,415,-19.8,17.2
182,-105.7667,53.4903,494,114.7467,431,-20.1,17.1
183,-105.2556,53.4792,494,117.5969,437,-20.5,17.1
184,-105.8667,53.5583,494,119.2156,439,-20.1,17
185,-105.9333,53.567,494,121.145,441,-20,16.9
186,-106.0667,53.8333,524,125.8011,446,-19.1,16.5
187,-106,53.9333,524,132.1098,457,-19.5,16.5
188,-105.8,54.0167,524,129.298,456,-19.8,16.5
189,-105.8167,54.0333,524,132.259,459,-19.8,16.5
190,-105.7167,54.05,524,131.3526,458,-19.9,16.5
191,-105.7,54.0667,524,132.75,462,-19.9,16.5
192,-105.5167,54.2833,594,135.9217,469,-19.7,16.3
193,-105.5333,54.4333,594,136.8709,471,-19.5,16.3
194,-105.55,54.55,594,142.1827,478,-19.5,16.3
195,-105.5333,54.575,594,142.2285,479,-19.5,16.3
196,-105.4333,54.7333,594,142.6418,482,-19.4,16.3
197,-105.2667,55.25,594,127.3983,472,-19,16.3
198,-105.6833,57.8,549,155.1802,464,-24,15.6
199,-105.6833,57.8,549,155.1802,464,-24,15.6
200,-105.75,59.5,213,152.0149,391,-28.7,14.9
201,-105.75,59.5,213,152.0149,391,-28.7,14.9
202,-111.12,48.92,1071,96.8704,384,-8.7,19
203,-101.17,59.58,366,165.7522,395,-29.2,14.4
204,-101.43,59.11,351,171.72,410,-29,14.4
205,-100,58.75,351,159.1324,418,-27.9,14.9
206,-100.3,58.87,351,159.6623,412,-28.2,14.8
207,-105.67,55.75,358,152.3314,498,-21.7,16.8
208,-105.67,55.75,358,152.3314,498,-21.7,16.8
209,-105.67,55.75,358,152.3314,498,-21.7,16.8
210,-105.67,55.75,358,152.3314,498,-21.7,16.8
211,-105,55.75,358,160.1559,494,-22.2,16.7
212,-105,55.75,358,160.1559,494,-22.2,16.7
213,-105,55.75,358,160.1559,494,-22.2,16.7
214,-105,55.75,358,160.1559,494,-22.2,16.7
215,-102,55,299,141.8327,495,-22.2,17.8
216,-102,55,299,141.8327,495,-22.2,17.8
217,-102,55,299,141.8327,495,-22.2,17.8
218,-102,55,299,141.8327,495,-22.2,17.8
219,-102,55,299,141.8327,495,-22.2,17.8
220,-102,55,299,141.8327,495,-22.2,17.8
221,-102.67,53.75,271,122.8159,459,-22.5,17.6
222,-102.67,53.75,271,122.8159,459,-22.5,17.6
223,-102.67,53.75,271,122.8159,459,-22.5,17.6
224,-102.67,53.75,271,122.8159,459,-22.5,17.6
225,-102.67,53.75,271,122.8159,459,-22.5,17.6
226,-104.83,54.33,442,152.5697,501,-22.4,16.9
227,-104.83,54.33,442,152.5697,501,-22.4,16.9
228,-108.17,53.55,689,123.707,417,-20.3,16
229,-101.08,51.83,689,145.3186,525,-18.9,17.2
230,-101.08,51.83,689,145.3186,525,-18.9,17.2
231,-100.05,50.88,304,149.7675,568,-19.6,18.2
232,-103.59,50.65,558,103.7436,406,-17.3,18.6
233,-101,50.42,546,120.6405,464,-18.1,18.2
234,-100.75,49.67,464,116.1036,476,-17.5,19.4
235,-102.19,49.96,620,112.2417,460,-15.8,18.6
236,-100.05,49.02,526,153.5371,604,-16.7,18.9
237,-100.07,49.07,526,156.6554,607,-16.6,18.9
238,-100.15,49.07,526,156.285,605,-16.8,18.9
239,-100.25,56.75,340,32.4987,74,-25.4,16
240,-100.64,56.98,340,162.4783,488,-25.5,16
241,-101.37,56.86,340,168.3619,494,-25.8,15.8
242,-111.883,60,60,119.3735,342,-25,16.6
243,-118.96,47.43,488,83.8129,237,-3.1,20.7
244,-118.75,47.45,549,98.9913,266,-3.3,19.7
245,-119.41,47.21,366,55.7454,175,-2.4,23.3
246,-118.68,47.35,518,93.2046,260,-2.8,19.8
247,-117.13,46.73,732,173.2545,544,-1.6,18.7
248,-118.58,47.13,564,88.4952,261,-2.4,19.9
249,-119.6,46.88,290,38.704,146,-1.5,23
250,-118.65,46.8,457,71.1743,263,-1.2,21.3
251,-118.86,47.63,610,105.7073,281,-3.9,20
252,-119.13,46.8,351,50.348,192,-1.2,22.4
253,-119.75,47.15,366,50.8077,162,-2.6,22.9
254,-120.26,46.53,411,62.2577,196,-1.4,20.8
255,-117.23,46.81,732,167.5522,524,-1.4,18.7
256,-118.7,47.7,701,120.1236,308,-4.3,19.4
257,-118.93,46.5,488,66.0158,247,-1.1,22
258,-119.88,46.53,427,44.6508,182,-0.9,21.6
259,-119.43,47.15,366,53.9163,171,-2.4,23.2
260,-118.43,46.78,503,79.0676,303,-1,21.2
261,-117.96,47.31,549,119.8427,341,-2.2,20.2
262,-118.51,46.78,457,72.6587,286,-0.9,21.3
263,-118.15,46.76,351,69.4908,334,-0.2,21.6
264,-119.13,46.8,351,50.348,192,-1.2,22.4
265,-117.88,46.8,427,80.725,365,-0.3,21.3
266,-119.03,46.72,351,51.5215,207,-1,22.3
267,-117.65,46.82,488,88.9978,401,-0.3,20.8
268,-117.97,46.77,427,79.337,360,-0.3,21.3
269,-118.77,46.63,290,50.009,249,-0.2,22.3
270,-118.1,47.37,610,126.5471,335,-2.9,19.7
271,-119,46.7,351,52.321,212,-1,22.2
272,-118.37,46.77,457,75.6801,308,-0.7,21.3
273,-119.08,46.73,290,47.6174,196,-0.9,22.5
274,-117.85,46.82,488,89.1638,375,-0.5,21
275,-117.95,47.28,610,126.9097,354,-2.3,20
276,-118.58,46.65,335,52.3129,277,0,22.2
277,-118.47,46.67,320,61.7761,301,-0.2,21.9
278,-120.45,46.28,244,63.9245,219,-0.5,21
279,-117.7,46.93,549,107.1337,402,-0.8,20.3
280,-118.3,46.78,411,73.2614,315,-0.5,21.4
281,-119.62,46.73,213,35.6661,149,-1.1,22.8
282,-120.47,46.22,366,84.7469,264,-0.8,20.3
283,-118.18,47,457,92.9163,314,-1.3,20.8
284,-118.08,46.8,488,90.4091,354,-0.8,21
285,-120.32,46.33,229,48.7659,182,-0.5,21.5
286,-118.12,46.72,488,88.3044,364,-0.7,21.2
287,-120.67,46.38,259,89.2383,295,-0.4,20.7
288,-120.65,46.38,259,85.8305,281,-0.5,20.7
289,-120.47,46.9,610,110.0645,251,-3.2,19.6
290,-120.7,46.38,274,95.3976,316,-0.4,20.5
291,-119.8,46.55,488,49.7616,181,-1.4,21.6
292,-119.42,46.73,213,36.1536,157,-0.9,23.1
293,-119.48,46.38,244,40.312,192,-0.4,22.2
294,-118.68,47.1,549,84.1837,252,-2.4,20.1
295,-119.85,47.13,381,46.8603,151,-2.5,22.8
296,-119.67,47.6,610,91.0544,234,-4.2,21.3
297,-119.37,47.88,655,112.5856,282,-4.9,20.5
298,-119.58,47.88,671,107.6362,262,-5,20.8
299,-119.8,47.73,792,122.4138,278,-5.2,20.2
300,-119.22,46.13,274,34.8301,234,0.8,22.6
301,-119.73,47.83,762,121.79,278,-5.3,20.2
302,-118.32,46.83,518,89.1604,319,-1.1,20.9
303,-118.85,47.08,457,73.5468,227,-2.2,20.7
304,-119.48,45.95,335,43.4613,224,0,21.8
305,-119.48,46.28,152,35.917,201,0,22.2
306,-119.43,46.38,137,30.3302,174,0.1,22.8
307,-119.73,46.2,305,46.7908,216,-0.6,21.3
308,-119.48,47.93,671,111.9159,276,-5.1,20.5
309,-119.6,47.75,762,115.7454,268,-5.3,20.5
310,-120.02,47.65,823,159.9885,325,-5.4,19.6
311,-119.53,47.45,610,79.3288,216,-3.7,22.2
312,-119.45,47.25,381,58.7168,181,-2.6,23.3
313,-119.38,45.93,152,30.5511,218,0.9,22.5
314,-119.3,46.33,137,31.308,185,0.3,23
315,-119.98,47.23,305,53.1508,163,-2.7,22.5
316,-119.43,46.93,122,31.3692,146,-0.7,23.7
317,-118.58,47.12,549,87.2208,260,-2.3,20
318,-119.6,46.12,335,48.0561,226,-0.4,21.4
319,-120.08,47.28,213,63.3484,180,-2.8,22.1
320,-119.37,47.6,488,84.559,233,-3.8,21.7
321,-107.5833,37.8167,3740,402.3185,707,-12.1,9.3
322,-112.3956,46.5311,2130,131.877,421,-7.4,16.6
323,-112.1658,46.4517,1895,109.8629,391,-7.3,17.7
324,-124.0333,44.3667,46,0,1624,6.6,15
325,-124,44.6,46,0,1704,6.2,14.4
326,-123.9333,44.95,61,0,1725,6.5,15.3
327,-123.8833,44.7333,91,0,1735,5.6,14.6
328,-123.8667,44.75,91,0,1729,5.5,14.7
329,-123.8,44.7333,91,0,1660,5.4,15.1
330,-123.75,44.7,91,0,1603,5.3,15.4
331,-123.7,44.6833,183,0,1603,4.9,15.3
332,-123.5667,44.65,274,0,1530,4.4,15.7
333,-123.55,44.55,1000,356.4578,1770,1.5,13.6
334,-123.5,44.5667,1067,437.4438,1737,1,13.7
335,-123.55,44.5333,1250,627.2152,1869,0.5,12.9
336,-123.5,44.5167,305,1.3713,1475,3.9,16
337,-123.4833,44.5,305,1.3655,1460,3.9,16.1
338,-123.4667,44.5,274,0,1435,4,16.3
339,-123.4667,44.6333,183,0,1407,4.3,16.5
340,-123.4333,44.6167,91,0,1355,4.5,16.9
341,-123.3167,44.5333,91,0,1235,4.4,17.8
342,-123.3,44.55,91,0,1216,4.3,17.9
343,-123.3,44.5333,122,0,1223,4.2,17.8
344,-123.25,44.7333,137,0,1157,4,18
345,-123.05,44.7167,91,0,1097,4,18.7
346,-122.9,44.5167,91,0,1253,4.7,18.8
347,-122.8,44.3833,152,0,1422,4.2,18
348,-122.75,44.45,183,14.6858,1422,3.6,17.8
349,-122.55,44.4,274,2.9256,1807,3.9,17.2
350,-122.5,44.3833,274,16.4325,1864,3.7,17.1
351,-122.4333,44.4333,366,86.7021,1919,2.9,16.8
352,-122.3667,44.4333,1219,834.2368,1659,-1.8,14.8
353,-122.25,44.3833,1219,887.4227,1586,-2.3,14.3
354,-122.2,44.4333,1006,715.4979,1713,-0.6,14.7
355,-122.1333,44.4333,1219,700.3212,1673,-0.6,14.7
356,-122.0667,44.4167,1402,709.8253,1604,-0.7,14.5
357,-122.0167,44.4333,1524,815.9525,1473,-1.8,14
358,-121.95,45.8667,1006,754.1402,2162,-0.2,15.6
359,-121.95,45.8667,1006,754.1402,2162,-0.2,15.6
360,-121.9333,45.8667,1006,748.3371,2156,-0.2,15.7
361,-121.9333,45.8667,1006,748.3371,2156,-0.2,15.7
362,-121.9167,45.8667,1006,743.4875,2148,-0.2,15.8
363,-121.9,45.8833,914,644.8727,2141,0.2,15.8
364,-121.9,45.8833,914,644.8727,2141,0.2,15.8
365,-121.8833,45.8833,914,662.9446,2116,0.1,15.7
366,-121.8667,45.8833,914,690.6858,2088,0,15.7
367,-121.9667,45.45,1097,603.5848,2013,0.2,15.6
368,-121.8833,45.45,1219,715.8898,1947,-0.3,15.1
369,-121.8,44.4333,3048,442.1895,600,-10.6,11.5
370,-121.75,44.2667,3048,548.5975,732,-8.5,11.2
371,-121.6167,44.2333,3048,249.2301,379,-10,12.4
372,-121.5,44.2333,2438,201.2985,336,-7.4,14.3
373,-121.4,44.25,2438,115.7257,225,-7.6,15
374,-121.25,44.2333,2743,22.8455,97,-9.2,15
375,-121.1667,44.2333,2438,25.3945,101,-7.7,15.5
376,-121.0833,44.2667,2438,16.5748,91,-7.8,15.6
377,-116.95,46.92,792,233.4689,647,-2.3,18.2
378,-116.65,46.93,914,258.1213,709,-2.3,18.4
379,-116.88,46.8,1372,360.1195,781,-4.5,16.2
380,-116.9,46.9,792,241.8937,665,-2.4,18.2
381,-116.85,46.8,1372,361.9237,786,-4.5,16.3
382,-116.67,46.98,884,271.2012,719,-2.5,18.3
383,-116.87,46.8,1433,373.2661,797,-4.7,16
384,-116.92,46.8,1341,356.4393,772,-4.5,16.2
385,-116.83,46.8,1402,366.3049,791,-4.6,16.3
386,-116.83,46.8,1402,366.3049,791,-4.6,16.3
387,-116.83,46.8,1402,366.3049,791,-4.6,16.3
388,-116.1,47.13,1036,383.6512,832,-3.6,17.3
389,-116.67,46.97,884,268.613,717,-2.4,18.3
390,-116.67,47,884,275.9997,722,-2.5,18.2
391,-116.67,46.77,853,239.4818,692,-2.4,18.6
392,-116.73,47.13,1219,367.9482,797,-3.8,16.9
393,-116.02,47,1524,444.0015,857,-5.1,15.9
394,-115.2,46.47,1707,297.0383,637,-5.7,16.7
395,-119.62,48.63,1067,145.472,338,-6.4,18.1
396,-118.7,48.2,549,122.8729,345,-4.3,19.8
397,-117.03,46.83,853,226.4603,622,-2.4,18
398,-117.27,46.9,732,169.268,528,-1.4,18.7
399,-117.27,46.92,671,161.4997,519,-1.2,18.9
400,-117.53,47.63,716,165.3515,433,-2.7,20.3
401,-117.55,47.47,701,162.3738,433,-2.4,20
402,-117.4,47.5,732,178.4913,478,-2.3,19.9
403,-117.6,47.73,610,144.139,395,-2.6,20.9
404,-117.43,47.88,610,180.057,480,-2.8,20.6
405,-117.35,47.7,610,181.3071,491,-2.5,20.4
406,-117.18,47,732,189.0064,559,-1.7,18.7
407,-117.55,46.28,1402,282.1697,610,-3.7,16.8
408,-117.57,46.23,1585,332.7224,654,-4.4,16
409,-117.55,46.18,1372,305.9535,632,-4.1,16.3
410,-117.52,46.13,1737,393.7214,719,-5.8,14.9
411,-118.55,48.18,1372,229.0393,473,-7.3,17.1
412,-119.95,48.68,2134,490.8492,718,-9.4,12
413,-119.93,48.55,1890,456.3183,684,-9.3,12.8
414,-119.93,48.55,1890,456.3183,684,-9.3,12.8
415,-117.27,46.67,732,137.2474,485,-1.1,19.3
416,-117.12,46.85,762,193.299,571,-1.8,18.5
417,-117.47,47.45,732,173.6984,461,-2.4,19.8
418,-117.2,47,762,192.0941,558,-1.7,18.6
419,-123.4189,47.381356,671,414.9424,2586,1.7,13.7
420,-123.5135,47.372881,244,85.9218,2535,3.1,14.7
421,-123.6757,47.305085,183,2.3022,2668,3.9,15.2
422,-123.8243,47.245763,122,0,2737,4.4,15.4
423,-124.0811,47.033898,15,0,2328,5.1,15.1
424,-124.027,47.254237,91,0,2793,4.7,15.2
425,-124,47.271186,91,0,2837,4.6,15.1
426,-123.9324,47.305085,122,0,2963,4.2,15
427,-123.8243,47.355932,610,364.0498,3246,2.2,13.4
428,-123.8243,47.423729,76,7.1879,2986,3.8,14.9
429,-123.8514,47.449153,76,0,2977,4.1,15.1
430,-123.6486,47.516949,152,29.4559,2627,3.6,14.8
431,-124.1892,47.516949,15,0,3102,4.7,15.2
432,-124.1757,47.533898,15,0,3126,4.7,15.2
433,-124.2027,47.542373,15,0,3115,4.7,15.2
434,-124,47.584746,91,0,3017,4.5,15.4
435,-124.3649,47.627119,46,0,3158,4.4,15
436,-124.3514,47.661017,61,0,3145,4.4,15
437,-124.1351,47.677966,503,103.1245,3351,3.2,14.1
438,-124.1081,47.694915,122,0,3087,4.6,15.4
439,-124.1216,47.720339,122,0,3056,4.7,15.6
440,-124.0811,47.737288,122,0,2984,4.9,15.8
441,-124.0541,47.720339,122,0,2976,4.7,15.6
442,-124,47.728814,122,0,2887,4.5,15.5
443,-123.8378,47.771186,168,0,2540,4.8,15.7
444,-124.3243,47.771186,183,0,3164,4.1,14.8
445,-124.53,47.84,15,0,2944,4.5,15
446,-124.58,47.86,15,0,2883,4.6,14.9
447,-124.4865,48.008475,183,1.6904,2910,3.9,14.8
448,-124.6892,48.144068,61,0,2780,4.1,14.6
449,-124.473,48.186441,15,0,2836,4.4,15.3
450,-124.7,48.3475,107,78.2651,2907,3.3,14.1
451,-124.1622,48.135593,168,26.0581,2861,3.6,15.1
452,-123.973,48.059322,335,0,2601,4.2,15.6
453,-123.5946,48.033898,61,38.1169,2115,3.4,15.2
454,-123.5676,47.889831,625,761.4855,2737,1,12.7
455,-123.2838,47.872881,1829,2120.8372,2955,-3.2,9.4
456,-123.2432,47.855932,1737,2117.2358,2934,-3.3,9.3
457,-123.2027,47.838983,1737,2028.9443,2851,-3.1,9.6
458,-123.2027,47.864407,884,1015.8699,2594,0.2,12.1
459,-123.027,48.016949,61,2.8483,1235,3.8,15.5
460,-122.8649,47.830508,213,0,1310,4.4,16.3
461,-122.6622,47.79661,91,0,1011,4.6,17
462,-122.8919,47.694915,823,147.9067,1532,2.2,15
463,-122.98,47.62,30,0,1664,4.5,16.4
464,-123.1216,47.254237,61,0.7927,1676,3.9,16.6
465,-123.0135,47.305085,91,2.8871,1546,3.8,16.7
466,-123.9459,47.279661,107,0,2890,4.3,15
467,-123.9054,47.271186,107,0,2868,4.2,15.1
468,-124.2703,47.779661,183,0,3192,4,14.9
469,-124.6351,48.101695,15,0,2717,4.6,14.9
470,-121.6167,48.2333,190,234.9906,1753,1.6,16.1
471,-122.5611,49.325,540,679.2969,2289,-0.6,15.5
472,-108.15,37.4167,3060,271.2704,626,-7.4,15.1
473,-108.5039,37.4739,2085,120.5593,432,-3.9,20.9
474,-108.095,37.4264,3610,365.37,726,-9.4,11.8
475,-108.2214,37.4694,2707,261.9178,629,-6.8,15.8
476,-108.1025,37.4694,3290,338.91,702,-8.8,12.9
477,-118.3667,52.7333,1935,624.3377,1034,-11.8,10.3
478,-117.0833,52.7833,2209,458.8104,845,-13,9.9
479,-117.6167,52.7333,1675,509.8907,899,-12.6,10.5
480,-118.1,52.8667,1120,278.263,633,-11.5,13.2
