id,x,y,ppt,elev
67,-85061,-62042,21.4,837
4,-156586,-62838,16.6,410
74,-82771,-63186,22,1232
10,-146620,-64200,22,464
62,-88936,-64210,21.4,428
385,75610,-64391,19.6,327
45,-101256,-65129,33.8,1346
191,-22047,-65935,1.3,1577
103,-63599,-67865,4.5,737
2,-159806,-68316,16.7,389
316,47974,-70233,31.2,1378
290,36429,-70314,44.4,607
182,-25141,-70371,0,1987
215,-8209,-70417,9.8,1463
94,-69022,-71142,5.1,977
361,64917,-71188,24,217
110,-59026,-72360,9.8,1229
131,-45168,-72479,4.3,1411
330,54930,-73510,22.7,197
315,48000,-73569,30.8,208
283,34145,-74775,44.1,573
142,-42112,-75836,6.5,1787
64,-86804,-76474,8.3,458
325,51878,-76873,20.8,954
299,41878,-79174,27.8,193
61,-89164,-79776,9.9,1045
116,-51393,-80213,3.9,1681
73,-83783,-80965,11.4,894
204,-15935,-81522,5.8,2226
89,-73017,-83327,5.7,1107
336,56563,-83503,9,550
57,-93102,-85277,8.2,1392
80,-79258,-88810,3.3,910
165,-32168,-89241,10.8,1961
357,63585,-91218,1.6,236
102,-63854,-92327,7.8,2054
347,61279,-92353,7.4,236
87,-73962,-97772,9.8,1630
367,67556,-101183,0,781
366,67605,-105630,0,722
363,66081,-107871,0.1,396
356,63769,-109008,0,278
