x,y,species
0.047,0.582,hickory
0.054,0.58,hickory
0.077,0.594,hickory
0.07,0.635,hickory
0.054,0.617,hickory
0.042,0.589,hickory
0.069,0.567,hickory
0.081,0.62,hickory
0.092,0.575,hickory
0.102,0.571,hickory
0.147,0.569,hickory
0.131,0.618,hickory
0.098,0.62,hickory
0.12,0.608,hickory
0.081,0.671,hickory
0.102,0.676,hickory
0.116,0.68,hickory
0.118,0.683,hickory
0.094,0.701,hickory
0.079,0.648,hickory
0.065,0.671,hickory
0.047,0.701,hickory
0.053,0.709,hickory
0.035,0.701,hickory
0.03,0.692,hickory
0.026,0.684,hickory
0.047,0.666,hickory
0.064,0.694,hickory
0.032,0.711,hickory
0.024,0.727,hickory
0.027,0.741,hickory
0.035,0.725,hickory
0.04,0.732,hickory
0.045,0.721,hickory
0.07,0.712,hickory
0.045,0.76,hickory
0.032,0.772,hickory
0.08,0.721,hickory
0.078,0.725,hickory
0.092,0.732,hickory
0.097,0.72,hickory
0.136,0.763,hickory
0.127,0.773,hickory
0.106,0.747,hickory
0.131,0.752,hickory
0.109,0.772,hickory
0.145,0.787,hickory
0.095,0.804,hickory
0.129,0.807,hickory
0.142,0.844,hickory
0.135,0.843,hickory
0.1,0.794,hickory
0.01,0.795,hickory
0.027,0.787,hickory
0.028,0.799,hickory
0.029,0.814,hickory
0.064,0.838,hickory
0.009,0.819,hickory
0.027,0.877,hickory
0.038,0.866,hickory
0.037,0.882,hickory
0.054,0.851,hickory
0.066,0.867,hickory
0.07,0.903,hickory
0.068,0.912,hickory
0.063,0.91,hickory
0.035,0.9,hickory
0.034,0.899,hickory
0.024,0.907,hickory
0.001,0.864,hickory
0.054,0.865,hickory
0.061,0.863,hickory
0.077,0.867,hickory
0.085,0.855,hickory
0.116,0.882,hickory
0.12,0.886,hickory
0.136,0.863,hickory
0.142,0.881,hickory
0.127,0.899,hickory
0.115,0.905,hickory
0.101,0.921,hickory
0.137,0.911,hickory
0.123,0.893,hickory
0.101,0.923,hickory
0.123,0.925,hickory
0.136,0.978,hickory
0.127,0.939,hickory
0.115,0.942,hickory
0.114,0.95,hickory
0.108,0.965,hickory
0.105,0.959,hickory
0.104,0.975,hickory
0.081,0.974,hickory
0.078,0.952,hickory
0.026,0.939,hickory
0.035,0.942,hickory
0.071,0.931,hickory
0.076,0.953,hickory
0.065,0.981,hickory
0.064,0.981,hickory
0.047,0.749,hickory
0.041,0.96,hickory
0.031,0.965,hickory
0.031,0.963,hickory
0.052,0.949,hickory
0.207,0.918,hickory
0.183,0.908,hickory
0.172,0.908,hickory
0.175,0.88,hickory
0.216,0.892,hickory
0.219,0.853,hickory
0.16,0.864,hickory
0.198,0.852,hickory
0.278,0.912,hickory
0.245,0.912,hickory
0.229,0.896,hickory
0.24,0.889,hickory
0.246,0.896,hickory
0.274,0.89,hickory
0.219,0.945,hickory
0.244,0.947,hickory
0.279,0.979,hickory
0.288,0.924,hickory
0.234,0.943,hickory
0.209,0.922,hickory
0.168,0.922,hickory
0.163,0.932,hickory
0.17,0.763,hickory
0.163,0.767,hickory
0.154,0.767,hickory
0.159,0.756,hickory
0.157,0.723,hickory
0.179,0.748,hickory
0.166,0.724,hickory
0.281,0.78,hickory
0.258,0.768,hickory
0.229,0.815,hickory
0.238,0.816,hickory
0.249,0.829,hickory
0.248,0.835,hickory
0.279,0.804,hickory
0.265,0.802,hickory
0.225,0.792,hickory
0.228,0.789,hickory
0.153,0.831,hickory
0.162,0.846,hickory
0.167,0.812,hickory
0.176,0.815,hickory
0.174,0.831,hickory
0.203,0.839,hickory
0.211,0.827,hickory
0.16,0.784,hickory
0.186,0.845,hickory
0.155,0.607,hickory
0.193,0.568,hickory
0.174,0.598,hickory
0.166,0.61,hickory
0.268,0.592,hickory
0.258,0.59,hickory
0.26,0.582,hickory
0.253,0.703,hickory
0.276,0.677,hickory
0.289,0.672,hickory
0.207,0.7,hickory
0.156,0.67,hickory
0.162,0.68,hickory
0.148,0.661,hickory
0.161,0.489,hickory
0.209,0.495,hickory
0.224,0.477,hickory
0.228,0.487,hickory
0.222,0.457,hickory
0.22,0.445,hickory
0.238,0.55,hickory
0.247,0.519,hickory
0.229,0.522,hickory
0.221,0.521,hickory
0.254,0.498,hickory
0.262,0.524,hickory
0.159,0.555,hickory
0.212,0.527,hickory
0.158,0.527,hickory
0.201,0.521,hickory
0.193,0.325,hickory
0.216,0.325,hickory
0.286,0.408,hickory
0.289,0.409,hickory
0.223,0.402,hickory
0.229,0.4,hickory
0.211,0.395,hickory
0.212,0.255,hickory
0.184,0.288,hickory
0.198,0.062,hickory
0.183,0,hickory
0.148,0.015,hickory
0.185,0.013,hickory
0.251,0.066,hickory
0.256,0.013,hickory
0.271,0.016,hickory
0.258,0.019,hickory
0.234,0.012,hickory
0.242,0.126,hickory
0.242,0.136,hickory
0.268,0.108,hickory
0.265,0.088,hickory
0.253,0.104,hickory
0.256,0.071,hickory
0.398,0.154,hickory
0.416,0.167,hickory
0.424,0.156,hickory
0.413,0.182,hickory
0.37,0.251,hickory
0.419,0.273,hickory
0.385,0.273,hickory
0.29,0.293,hickory
0.394,0.307,hickory
0.404,0.312,hickory
0.415,0.306,hickory
0.417,0.326,hickory
0.372,0.368,hickory
0.302,0.008,hickory
0.32,0.061,hickory
0.294,0.066,hickory
0.406,0.008,hickory
0.289,0.095,hickory
0.339,0.131,hickory
0.409,0.408,hickory
0.404,0.418,hickory
0.335,0.407,hickory
0.354,0.422,hickory
0.31,0.438,hickory
0.332,0.426,hickory
0.317,0.465,hickory
0.338,0.477,hickory
0.394,0.436,hickory
0.417,0.45,hickory
0.427,0.436,hickory
0.43,0.447,hickory
0.474,0.477,hickory
0.329,0.532,hickory
0.33,0.531,hickory
0.335,0.508,hickory
0.353,0.561,hickory
0.323,0.613,hickory
0.348,0.62,hickory
0.347,0.667,hickory
0.409,0.649,hickory
0.356,0.709,hickory
0.304,0.701,hickory
0.331,0.718,hickory
0.307,0.716,hickory
0.323,0.737,hickory
0.331,0.727,hickory
0.333,0.746,hickory
0.342,0.725,hickory
0.347,0.727,hickory
0.358,0.725,hickory
0.36,0.769,hickory
0.342,0.771,hickory
0.344,0.761,hickory
0.346,0.755,hickory
0.302,0.752,hickory
0.304,0.769,hickory
0.318,0.781,hickory
0.333,0.763,hickory
0.387,0.722,hickory
0.425,0.719,hickory
0.37,0.775,hickory
0.405,0.847,hickory
0.419,0.819,hickory
0.408,0.833,hickory
0.398,0.832,hickory
0.39,0.839,hickory
0.367,0.83,hickory
0.304,0.785,hickory
0.308,0.792,hickory
0.314,0.802,hickory
0.328,0.787,hickory
0.329,0.847,hickory
0.312,0.654,hickory
0.321,0.865,hickory
0.325,0.882,hickory
0.323,0.902,hickory
0.294,0.909,hickory
0.38,0.856,hickory
0.389,0.927,hickory
0.425,0.973,hickory
0.384,0.972,hickory
0.366,0.973,hickory
0.307,0.985,hickory
0.291,0.986,hickory
0.412,0.946,hickory
0.465,0.897,hickory
0.463,0.915,hickory
0.44,0.987,hickory
0.461,0.987,hickory
0.497,0.958,hickory
0.438,0.756,hickory
0.553,0.76,hickory
0.576,0.833,hickory
0.475,0.834,hickory
0.436,0.841,hickory
0.513,0.703,hickory
0.538,0.522,hickory
0.459,0.486,hickory
0.49,0.489,hickory
0.498,0.471,hickory
0.501,0.435,hickory
0.501,0.446,hickory
0.444,0.435,hickory
0.578,0.501,hickory
0.543,0.47,hickory
0.556,0.465,hickory
0.54,0.452,hickory
0.448,0.542,hickory
0.459,0.537,hickory
0.491,0.522,hickory
0.475,0.522,hickory
0.459,0.527,hickory
0.492,0.561,hickory
0.456,0.53,hickory
0.438,0.35,hickory
0.473,0.332,hickory
0.473,0.308,hickory
0.556,0.354,hickory
0.437,0.421,hickory
0.446,0.412,hickory
0.508,0.41,hickory
0.482,0.403,hickory
0.487,0.182,hickory
0.439,0.157,hickory
0.534,0.254,hickory
0.569,0.127,hickory
0.495,0.119,hickory
0.439,0.104,hickory
0.459,0.094,hickory
0.693,0.006,hickory
0.686,0.008,hickory
0.708,0.133,hickory
0.657,0.128,hickory
0.577,0.105,hickory
0.608,0.098,hickory
0.619,0.132,hickory
0.609,0.126,hickory
0.631,0.168,hickory
0.621,0.201,hickory
0.62,0.203,hickory
0.617,0.19,hickory
0.708,0.184,hickory
0.671,0.218,hickory
0.619,0.347,hickory
0.659,0.354,hickory
0.694,0.376,hickory
0.682,0.377,hickory
0.601,0.385,hickory
0.585,0.404,hickory
0.616,0.491,hickory
0.615,0.492,hickory
0.636,0.496,hickory
0.639,0.492,hickory
0.682,0.442,hickory
0.712,0.458,hickory
0.706,0.476,hickory
0.696,0.466,hickory
0.672,0.476,hickory
0.658,0.494,hickory
0.714,0.501,hickory
0.661,0.525,hickory
0.673,0.534,hickory
0.66,0.562,hickory
0.629,0.516,hickory
0.617,0.537,hickory
0.604,0.543,hickory
0.588,0.547,hickory
0.584,0.595,hickory
0.609,0.597,hickory
0.712,0.584,hickory
0.703,0.618,hickory
0.667,0.702,hickory
0.666,0.715,hickory
0.579,0.718,hickory
0.641,0.739,hickory
0.602,0.753,hickory
0.695,0.737,hickory
0.686,0.751,hickory
0.672,0.762,hickory
0.656,0.721,hickory
0.659,0.795,hickory
0.598,0.839,hickory
0.619,0.841,hickory
0.584,0.855,hickory
0.629,0.91,hickory
0.585,0.854,hickory
0.654,0.851,hickory
0.654,0.897,hickory
0.661,0.937,hickory
0.683,0.948,hickory
0.68,0.987,hickory
0.677,0.923,hickory
0.663,0.958,hickory
0.627,0.952,hickory
0.639,0.935,hickory
0.64,0.983,hickory
0.623,0.986,hickory
0.608,0.979,hickory
0.596,0.989,hickory
0.639,0.983,hickory
0.767,0.922,hickory
0.733,0.902,hickory
0.747,0.883,hickory
0.779,0.873,hickory
0.839,0.913,hickory
0.813,0.96,hickory
0.848,0.981,hickory
0.852,0.979,hickory
0.854,0.984,hickory
0.858,0.944,hickory
0.721,0.978,hickory
0.782,0.974,hickory
0.776,0.947,hickory
0.728,0.924,hickory
0.737,0.718,hickory
0.838,0.782,hickory
0.811,0.769,hickory
0.821,0.752,hickory
0.831,0.744,hickory
0.855,0.844,hickory
0.823,0.812,hickory
0.82,0.805,hickory
0.828,0.813,hickory
0.827,0.811,hickory
0.819,0.813,hickory
0.815,0.819,hickory
0.758,0.819,hickory
0.768,0.831,hickory
0.742,0.648,hickory
0.789,0.62,hickory
0.793,0.585,hickory
0.771,0.597,hickory
0.763,0.583,hickory
0.748,0.604,hickory
0.831,0.65,hickory
0.803,0.637,hickory
0.842,0.635,hickory
0.816,0.591,hickory
0.804,0.588,hickory
0.798,0.706,hickory
0.803,0.7,hickory
0.806,0.701,hickory
0.811,0.665,hickory
0.801,0.68,hickory
0.832,0.674,hickory
0.744,0.703,hickory
0.786,0.711,hickory
0.75,0.671,hickory
0.769,0.495,hickory
0.738,0.471,hickory
0.756,0.472,hickory
0.764,0.47,hickory
0.777,0.443,hickory
0.753,0.442,hickory
0.748,0.453,hickory
0.738,0.446,hickory
0.731,0.439,hickory
0.802,0.465,hickory
0.848,0.479,hickory
0.823,0.438,hickory
0.804,0.545,hickory
0.827,0.544,hickory
0.83,0.538,hickory
0.842,0.555,hickory
0.831,0.509,hickory
0.741,0.537,hickory
0.782,0.55,hickory
0.774,0.51,hickory
0.727,0.526,hickory
0.841,0.338,hickory
0.803,0.413,hickory
0.816,0.395,hickory
0.746,0.407,hickory
0.79,0.393,hickory
0.725,0.422,hickory
0.784,0.389,hickory
0.727,0.201,hickory
0.773,0.185,hickory
0.832,0.149,hickory
0.802,0.155,hickory
0.854,0.268,hickory
0.832,0.222,hickory
0.829,0.223,hickory
0.825,0.233,hickory
0.846,0.256,hickory
0.778,0.279,hickory
0.789,0.253,hickory
0.729,0.231,hickory
0.782,0.014,hickory
0.794,0.032,hickory
0.823,0.015,hickory
0.785,0.078,hickory
0.748,0.123,hickory
0.95,0.021,hickory
0.926,0.052,hickory
0.943,0.093,hickory
0.951,0.08,hickory
0.907,0.115,hickory
0.895,0.149,hickory
0.908,0.148,hickory
0.976,0.181,hickory
1,0.199,hickory
0.991,0.199,hickory
0.97,0.211,hickory
0.944,0.205,hickory
0.972,0.264,hickory
0.923,0.278,hickory
0.916,0.277,hickory
0.997,0.234,hickory
0.88,0.227,hickory
0.898,0.254,hickory
0.866,0.293,hickory
0.881,0.289,hickory
0.906,0.305,hickory
0.896,0.34,hickory
0.892,0.343,hickory
0.883,0.325,hickory
0.874,0.33,hickory
0.893,0.315,hickory
0.913,0.31,hickory
0.929,0.315,hickory
0.968,0.285,hickory
0.932,0.324,hickory
0.924,0.333,hickory
0.948,0.341,hickory
0.942,0.364,hickory
0.949,0.359,hickory
0.962,0.37,hickory
0.998,0.421,hickory
0.987,0.292,hickory
0.963,0.323,hickory
0.951,0.325,hickory
0.946,0.325,hickory
0.964,0.424,hickory
0.951,0.399,hickory
0.881,0.394,hickory
0.916,0.396,hickory
0.922,0.38,hickory
0.927,0.399,hickory
0.892,0.417,hickory
0.885,0.425,hickory
0.872,0.406,hickory
0.872,0.427,hickory
0.908,0.43,hickory
0.921,0.501,hickory
0.908,0.479,hickory
0.877,0.465,hickory
0.972,0.444,hickory
0.977,0.445,hickory
0.953,0.496,hickory
0.977,0.534,hickory
0.95,0.557,hickory
0.89,0.515,hickory
0.939,0.511,hickory
0.918,0.544,hickory
0.905,0.621,hickory
0.897,0.607,hickory
0.924,0.591,hickory
0.955,0.663,hickory
0.969,0.657,hickory
0.945,0.692,hickory
0.968,0.607,hickory
0.982,0.604,hickory
0.978,0.628,hickory
0.966,0.697,hickory
0.882,0.662,hickory
0.89,0.665,hickory
0.89,0.661,hickory
0.889,0.652,hickory
0.89,0.647,hickory
0.927,0.654,hickory
0.946,0.66,hickory
0.932,0.701,hickory
0.903,0.712,hickory
0.902,0.688,hickory
0.885,0.696,hickory
0.902,0.697,hickory
0.895,0.747,hickory
0.926,0.775,hickory
0.93,0.763,hickory
0.905,0.76,hickory
0.894,0.774,hickory
0.895,0.781,hickory
0.896,0.782,hickory
0.889,0.749,hickory
0.892,0.762,hickory
0.952,0.736,hickory
0.96,0.722,hickory
0.973,0.722,hickory
0.996,0.736,hickory
0.95,0.76,hickory
0.95,0.747,hickory
0.938,0.748,hickory
0.936,0.771,hickory
0.969,0.737,hickory
0.953,0.791,hickory
0.957,0.805,hickory
0.959,0.8,hickory
0.996,0.802,hickory
0.972,0.837,hickory
0.974,0.827,hickory
0.944,0.826,hickory
0.883,0.789,hickory
0.874,0.794,hickory
0.919,0.792,hickory
0.916,0.828,hickory
0.908,0.854,hickory
0.9,0.841,hickory
0.881,0.855,hickory
0.868,0.857,hickory
0.921,0.884,hickory
0.923,0.921,hickory
0.934,0.856,hickory
0.963,0.904,hickory
0.936,0.922,hickory
0.968,0.902,hickory
0.984,0.931,hickory
0.998,0.975,hickory
0.987,0.977,hickory
0.992,0.986,hickory
0.963,0.985,hickory
0.944,0.977,hickory
0.93,0.277,hickory
0.957,0.939,hickory
0.994,0.985,hickory
0.883,0.958,hickory
0.909,0.963,hickory
0.925,0.989,hickory
0.879,0.985,hickory
0.896,0.961,hickory
0.891,0.991,hickory
0.858,0.984,hickory
0.391,0.402,hickory
0.421,0.383,hickory
0.121,0.041,maple
0.097,0.064,maple
0.135,0.064,maple
0.131,0.106,maple
0.116,0.079,maple
0.067,0.121,maple
0.058,0.083,maple
0.009,0.147,maple
0.116,0.157,maple
0.137,0.169,maple
0.119,0.2,maple
0.096,0.194,maple
0.081,0.208,maple
0.094,0.205,maple
0.106,0.156,maple
0.14,0.184,maple
0.096,0.195,maple
0.095,0.19,maple
0.077,0.218,maple
0.081,0.242,maple
0.131,0.266,maple
0.132,0.267,maple
0.128,0.276,maple
0.104,0.261,maple
0.092,0.254,maple
0.087,0.258,maple
0.07,0.223,maple
0.14,0.334,maple
0.066,0.732,maple
0.227,0.865,maple
0.249,0.945,maple
0.146,0.721,maple
0.26,0.744,maple
0.195,0.583,maple
0.275,0.616,maple
0.285,0.571,maple
0.275,0.57,maple
0.284,0.683,maple
0.29,0.697,maple
0.274,0.648,maple
0.2,0.455,maple
0.25,0.466,maple
0.248,0.478,maple
0.255,0.567,maple
0.17,0.294,maple
0.251,0.301,maple
0.225,0.292,maple
0.265,0.413,maple
0.182,0.372,maple
0.159,0.169,maple
0.186,0.175,maple
0.198,0.212,maple
0.202,0.18,maple
0.206,0.206,maple
0.196,0.17,maple
0.188,0.147,maple
0.173,0.146,maple
0.17,0.161,maple
0.226,0.26,maple
0.255,0.266,maple
0.265,0.228,maple
0.194,0.282,maple
0.197,0.266,maple
0.187,0.253,maple
0.152,0.224,maple
0.143,0.031,maple
0.2,0.042,maple
0.207,0.006,maple
0.176,0.028,maple
0.177,0.024,maple
0.269,0.067,maple
0.274,0.05,maple
0.228,0.094,maple
0.15,0.083,maple
0.158,0.132,maple
0.17,0.126,maple
0.176,0.114,maple
0.301,0.173,maple
0.318,0.143,maple
0.329,0.156,maple
0.339,0.201,maple
0.314,0.188,maple
0.313,0.187,maple
0.31,0.209,maple
0.376,0.166,maple
0.406,0.167,maple
0.425,0.202,maple
0.373,0.174,maple
0.372,0.173,maple
0.372,0.237,maple
0.398,0.228,maple
0.425,0.271,maple
0.334,0.271,maple
0.213,0.096,maple
0.147,0.139,maple
0.179,0.083,maple
0.175,0.103,maple
0.353,0.029,maple
0.334,0.042,maple
0.303,0.042,maple
0.295,0.068,maple
0.351,0.049,maple
0.358,0.002,maple
0.377,0.009,maple
0.41,0.003,maple
0.373,0.063,maple
0.402,0.026,maple
0.38,0.094,maple
0.408,0.12,maple
0.425,0.122,maple
0.372,0.077,maple
0.331,0.137,maple
0.343,0.462,maple
0.31,0.489,maple
0.287,0.461,maple
0.399,0.481,maple
0.392,0.504,maple
0.416,0.534,maple
0.4,0.548,maple
0.372,0.564,maple
0.402,0.531,maple
0.318,0.517,maple
0.347,0.517,maple
0.346,0.518,maple
0.344,0.537,maple
0.354,0.519,maple
0.335,0.568,maple
0.331,0.574,maple
0.314,0.568,maple
0.305,0.552,maple
0.35,0.629,maple
0.376,0.578,maple
0.391,0.584,maple
0.425,0.585,maple
0.432,0.578,maple
0.429,0.596,maple
0.429,0.597,maple
0.43,0.622,maple
0.43,0.639,maple
0.415,0.621,maple
0.413,0.622,maple
0.398,0.626,maple
0.396,0.627,maple
0.369,0.632,maple
0.368,0.631,maple
0.385,0.63,maple
0.368,0.662,maple
0.369,0.667,maple
0.402,0.649,maple
0.41,0.649,maple
0.417,0.666,maple
0.402,0.67,maple
0.412,0.681,maple
0.416,0.684,maple
0.421,0.697,maple
0.406,0.708,maple
0.398,0.69,maple
0.379,0.695,maple
0.422,0.661,maple
0.346,0.663,maple
0.354,0.655,maple
0.356,0.655,maple
0.351,0.709,maple
0.325,0.698,maple
0.294,0.689,maple
0.312,0.699,maple
0.354,0.718,maple
0.424,0.971,maple
0.318,0.978,maple
0.494,0.87,maple
0.531,0.874,maple
0.529,0.86,maple
0.508,0.948,maple
0.463,0.734,maple
0.511,0.746,maple
0.532,0.749,maple
0.548,0.733,maple
0.517,0.731,maple
0.516,0.716,maple
0.486,0.801,maple
0.439,0.632,maple
0.439,0.585,maple
0.439,0.584,maple
0.435,0.574,maple
0.522,0.634,maple
0.552,0.632,maple
0.545,0.569,maple
0.524,0.629,maple
0.499,0.712,maple
0.519,0.696,maple
0.516,0.682,maple
0.537,0.639,maple
0.436,0.682,maple
0.499,0.478,maple
0.521,0.439,maple
0.503,0.43,maple
0.45,0.463,maple
0.459,0.434,maple
0.435,0.46,maple
0.474,0.421,maple
0.571,0.47,maple
0.552,0.541,maple
0.568,0.54,maple
0.537,0.53,maple
0.543,0.505,maple
0.524,0.521,maple
0.455,0.555,maple
0.478,0.526,maple
0.463,0.522,maple
0.456,0.498,maple
0.483,0.327,maple
0.502,0.29,maple
0.466,0.289,maple
0.465,0.289,maple
0.494,0.34,maple
0.515,0.32,maple
0.566,0.298,maple
0.545,0.335,maple
0.524,0.403,maple
0.57,0.379,maple
0.534,0.372,maple
0.512,0.399,maple
0.642,0.429,maple
0.573,0.396,maple
0.526,0.359,maple
0.466,0.405,maple
0.447,0.202,maple
0.479,0.186,maple
0.484,0.144,maple
0.462,0.162,maple
0.46,0.147,maple
0.503,0.208,maple
0.549,0.21,maple
0.555,0.192,maple
0.534,0.174,maple
0.526,0.161,maple
0.514,0.229,maple
0.504,0.254,maple
0.5,0.231,maple
0.499,0.232,maple
0.485,0.234,maple
0.484,0.234,maple
0.463,0.225,maple
0.458,0.037,maple
0.476,0.045,maple
0.494,0.021,maple
0.484,0.009,maple
0.475,0.021,maple
0.46,0.008,maple
0.45,0.025,maple
0.531,0.061,maple
0.571,0.084,maple
0.561,0.076,maple
0.531,0.084,maple
0.529,0.09,maple
0.497,0.14,maple
0.482,0.092,maple
0.444,0.085,maple
0.577,0.016,maple
0.613,0.039,maple
0.62,0.017,maple
0.585,0.027,maple
0.665,0.005,maple
0.679,0.022,maple
0.701,0.065,maple
0.673,0.062,maple
0.685,0.014,maple
0.649,0.11,maple
0.584,0.092,maple
0.59,0.096,maple
0.633,0.073,maple
0.576,0.157,maple
0.59,0.152,maple
0.592,0.15,maple
0.593,0.153,maple
0.607,0.153,maple
0.608,0.153,maple
0.621,0.168,maple
0.627,0.158,maple
0.605,0.189,maple
0.587,0.161,maple
0.643,0.152,maple
0.598,0.201,maple
0.65,0.156,maple
0.711,0.153,maple
0.673,0.19,maple
0.7,0.209,maple
0.698,0.212,maple
0.682,0.209,maple
0.657,0.249,maple
0.676,0.237,maple
0.705,0.227,maple
0.715,0.227,maple
0.714,0.232,maple
0.705,0.253,maple
0.703,0.263,maple
0.681,0.256,maple
0.714,0.247,maple
0.615,0.244,maple
0.618,0.226,maple
0.619,0.226,maple
0.622,0.24,maple
0.646,0.221,maple
0.616,0.267,maple
0.576,0.269,maple
0.616,0.268,maple
0.593,0.292,maple
0.609,0.311,maple
0.655,0.295,maple
0.666,0.304,maple
0.663,0.317,maple
0.688,0.308,maple
0.688,0.36,maple
0.662,0.37,maple
0.658,0.389,maple
0.626,0.39,maple
0.578,0.46,maple
0.62,0.432,maple
0.63,0.482,maple
0.608,0.475,maple
0.592,0.496,maple
0.607,0.469,maple
0.595,0.466,maple
0.596,0.482,maple
0.624,0.496,maple
0.634,0.588,maple
0.645,0.63,maple
0.64,0.643,maple
0.626,0.629,maple
0.615,0.644,maple
0.576,0.618,maple
0.681,0.608,maple
0.66,0.618,maple
0.689,0.644,maple
0.712,0.649,maple
0.685,0.631,maple
0.653,0.685,maple
0.668,0.686,maple
0.666,0.656,maple
0.675,0.657,maple
0.692,0.68,maple
0.692,0.701,maple
0.679,0.681,maple
0.677,0.709,maple
0.676,0.709,maple
0.62,0.656,maple
0.626,0.676,maple
0.632,0.676,maple
0.64,0.685,maple
0.609,0.693,maple
0.597,0.733,maple
0.606,0.744,maple
0.607,0.744,maple
0.578,0.781,maple
0.579,0.742,maple
0.715,0.737,maple
0.715,0.738,maple
0.661,0.83,maple
0.574,0.785,maple
0.6,0.785,maple
0.621,0.792,maple
0.583,0.805,maple
0.577,0.805,maple
0.578,0.826,maple
