"Latitude","Longitude","tjan","tfeb","tmar","tapr","tmay","tjun","tjul","taug","tsep","toct","tnov","tdec","pjan","pfeb","pmar","papr","pmay","pjun","pjul","paug","psep","poct","pnov","pdec","tave","tmax","tmin","gdd0","gdd5","mtco","mtwa","annp"
66.583,-143.15,-26.1,-24.2,-17.8,-7.8,3.5,10.7,12.8,10.2,4,-7,-18.5,-23.5,6,4,3,3,10,28,32,34,19,13,8,7,-6.98,34.5,-55.5,1186.2,543.9,-26.1,12.8,167
67.2,-142.067,-27.7,-25.8,-19.8,-10.1,1.7,9.7,12.1,9.4,3,-8.1,-19.8,-24.4,7,5,5,5,10,27,32,37,20,15,9,8,-8.32,33.8,-55.1,1044.6,448,-27.7,12.1,180
67.25,-152.6,-29.5,-28.3,-22.6,-11.6,1.3,8.9,10.6,7.4,0.6,-10.8,-23.1,-26.9,23,17,20,13,11,36,49,55,25,19,20,20,-10.33,32.7,-53.7,856.8,314,-29.5,10.6,308
64.333,-151.267,-20.6,-18.1,-12.1,-3.3,6.4,12.7,14.4,11.6,5.7,-5.1,-15.2,-19.3,16,15,14,12,17,44,60,73,41,20,16,17,-3.58,32.5,-52,1481.2,762.9,-20.6,14.4,345
63.483,-151.083,-18.8,-16.5,-11.8,-4.3,4.1,10.2,12.2,9.9,4.4,-5.5,-14.5,-17.6,20,21,19,15,18,50,68,77,47,23,19,20,-4.02,29.7,-48.8,1180.1,511.8,-18.8,12.2,397
63.067,-145.7,-22.1,-18.3,-12.2,-3.5,4.6,10.1,12.3,10,4.4,-5.8,-16.9,-20.7,11,11,9,4,15,51,59,41,22,6,10,14,-4.84,32.7,-51.8,1199.3,520.8,-22.1,12.3,253
44.956,-110.6,-9.8,-7.3,-4.2,0.9,6.6,11.5,15.9,14.9,9.6,4.2,-3.1,-8.5,40,29,37,36,54,57,39,40,40,31,35,36,2.56,36.2,-45.5,1909.9,998.8,-9.8,15.9,474
64.117,-110.567,-30.3,-28.6,-24.5,-13.4,-2.3,7.1,11.7,10.2,3.5,-5.3,-18.4,-26.2,12,11,14,12,16,27,38,44,30,28,20,18,-9.71,26.4,-51.2,938.4,388.5,-30.3,11.7,270
64.133,-110.583,-30.3,-28.6,-24.5,-13.5,-2.4,7,11.7,10.2,3.5,-5.3,-18.4,-26.2,12,11,14,12,16,27,38,44,30,28,20,18,-9.73,26.3,-51.2,934.6,386.3,-30.3,11.7,270
56.767,-119.483,-19.4,-15,-9.8,1,7.6,11.5,13.3,12,7.1,1.6,-10.6,-15.8,32,27,28,20,41,68,77,62,39,24,30,29,-1.38,32.5,-58,1622.3,767.9,-19.4,13.3,477
52.242,-117.217,-13.4,-10.4,-9,-3.6,1.7,5.3,7.9,7.9,3.4,-1.5,-9.8,-12.9,150,119,112,73,60,98,89,74,79,88,126,127,-2.87,29.9,-59.4,769,167.9,-13.4,7.9,1195
48.8,-113.65,-7.6,-4.9,-1.7,3.8,8.9,13.1,16.2,15.8,10.9,6,-1.6,-6.3,41,32,40,49,69,76,42,45,46,29,34,38,4.38,36.7,-47.4,2249.9,1225.8,-7.6,16.2,541
48.833,-113.567,-7.7,-5,-1.8,3.7,8.9,13.1,16.2,15.8,10.9,6,-1.6,-6.4,38,30,38,47,68,76,42,45,45,26,31,35,4.34,36.7,-47.5,2246.3,1224.9,-7.7,16.2,521
48.85,-113.45,-7.7,-4.9,-2.1,3.2,8.2,12.3,15.5,15.2,10.3,5.6,-1.9,-6.4,38,31,39,45,70,79,43,47,48,27,32,35,3.94,36.4,-47.6,2111.6,1110.7,-7.7,15.5,534
48.833,-113.367,-7.8,-4.9,-2.3,2.8,7.7,11.8,15,14.8,10,5.3,-2.1,-6.5,38,32,40,44,71,79,44,48,48,27,33,36,3.65,35.9,-47.8,2021.8,1037.2,-7.8,15,540
48.85,-113.3,-7.9,-5,-2.4,2.6,7.6,11.7,14.8,14.6,9.8,5.2,-2.2,-6.6,37,31,39,43,70,78,43,48,48,26,32,35,3.52,35.8,-47.9,1987.7,1010.5,-7.9,14.8,530
48.85,-113.25,-8,-4.9,-2.2,3,8.1,12.2,15.3,15.1,10.2,5.5,-2,-6.5,32,26,34,39,66,76,41,46,45,23,27,29,3.82,36.4,-47.4,2083.3,1089.5,-8,15.3,484
48.767,-113.167,-8.1,-4.8,-2,3.3,8.4,12.5,15.7,15.5,10.5,5.7,-1.8,-6.5,29,22,29,37,62,72,39,43,41,22,23,25,4.03,36.9,-47.1,2152.5,1146.5,-8.1,15.7,444
48.717,-113.117,-8.1,-4.8,-2.1,3.1,8.1,12.2,15.5,15.2,10.3,5.4,-1.9,-6.5,31,24,29,37,61,71,40,44,40,23,25,26,3.87,36.7,-47.2,2096.8,1100.7,-8.1,15.5,451
48.55,-113.117,-7.7,-4.5,-1.7,3.5,8.5,12.8,16,15.7,10.7,5.7,-1.6,-6.3,30,23,26,35,58,68,40,42,38,23,24,24,4.26,37.2,-46.2,2195.6,1181.5,-7.7,16,431
48.617,-113.017,-8,-4.6,-1.7,3.5,8.6,12.8,16.1,15.8,10.8,5.8,-1.6,-6.4,27,21,24,33,56,67,40,41,36,21,21,21,4.26,37.6,-45.9,2210.8,1195.4,-8,16.1,408
48.533,-112.967,-7.8,-4.5,-1.6,3.6,8.6,12.9,16.2,15.8,10.8,5.8,-1.6,-6.3,28,21,23,33,56,67,40,41,36,22,22,21,4.33,37.6,-45.7,2220.6,1202.4,-7.8,16.2,410
48.583,-112.75,-8.1,-4.6,-1.4,4.1,9.4,13.8,17,16.6,11.4,6.3,-1.4,-6.4,19,14,17,29,53,67,39,40,31,17,15,14,4.73,38.9,-44.7,2373,1335.5,-8.1,17,355
48.733,-112.183,-7.4,-4.8,-0.9,5.2,10.7,15.3,18.4,17.8,12.1,7.1,-1.1,-6.5,11,8,14,26,51,69,38,40,28,11,9,11,5.49,39.8,-45.2,2624.7,1554.2,-7.4,18.4,316
48.75,-111.917,-6.9,-4.4,-0.5,5.4,11,15.6,18.6,18.1,12.3,7.4,-0.7,-6.3,13,9,15,30,51,69,36,39,29,13,11,14,5.8,40.1,-44.6,2689.1,1604.6,-6.9,18.6,329
48.75,-111.7,-7,-4.3,-0.6,5.6,11.2,15.8,19,18.4,12.6,7.5,-0.6,-6.3,15,10,17,31,52,69,35,38,30,13,11,16,5.94,40.5,-44.3,2741.1,1653.5,-7,19,337
48.75,-111.417,-7.4,-4.3,-0.7,5.5,11.1,15.7,19,18.5,12.6,7.6,-0.7,-6.1,19,12,22,33,55,70,34,39,33,16,13,19,5.9,39.9,-45.1,2735.6,1650.9,-7.4,19,365
48.883,-111.267,-7.8,-4.7,-1.2,4.9,10.4,14.9,18.3,17.8,12.1,7.1,-1.2,-6.3,26,17,28,37,57,72,36,42,37,18,17,25,5.36,38.5,-46.7,2587.1,1525,-7.8,18.3,412
48.917,-111.117,-8.1,-5.1,-1.6,4.5,10,14.4,17.8,17.4,11.7,6.6,-1.7,-6.6,29,21,32,38,58,71,36,43,39,19,20,28,4.94,37.5,-47.5,2484.1,1441,-8.1,17.8,434
48.883,-111.033,-8.2,-5.1,-1.6,4.5,10,14.4,17.8,17.5,11.7,6.6,-1.7,-6.7,30,21,32,38,58,71,36,42,39,19,20,29,4.93,37.7,-47,2487.2,1444,-8.2,17.8,435
48.95,-110.983,-9.1,-5.7,-1.4,5.3,11.1,15.7,19,18.6,12.5,7.2,-1.6,-7.2,23,16,26,34,54,67,34,38,36,16,15,22,5.37,39.9,-45.9,2700,1637.2,-9.1,19,381
48.883,-110.883,-9.2,-5.7,-1.4,5.3,11.1,15.7,19.1,18.6,12.5,7.1,-1.6,-7.3,24,17,26,34,54,66,34,38,35,17,15,22,5.35,40.1,-45.3,2700.1,1638.1,-9.2,19.1,382
48.883,-110.5,-10.8,-6.9,-2,5.2,11.2,16,19.3,18.8,12.3,6.6,-2.5,-8.7,23,17,23,30,49,59,33,34,32,15,15,21,4.88,41,-44.7,2687.5,1643.7,-10.8,19.3,351
48.8,-110.117,-12.2,-7.7,-2.2,5.4,11.6,16.7,19.8,19.2,12.5,6.3,-3,-9.9,19,14,18,26,45,54,35,32,30,14,13,16,4.71,41.9,-43.8,2746.8,1708.2,-12.2,19.8,316
48.9,-109.867,-12.9,-8.5,-2.5,5.1,11.4,16.4,19.4,18.8,12,5.7,-3.7,-10.7,20,14,17,25,41,52,35,30,30,13,13,16,4.21,41.3,-44.5,2659.3,1637,-12.9,19.4,306
48.75,-109.617,-11.8,-7.7,-1.5,5.8,11.8,16.8,19.9,19.2,12.5,6.5,-2.8,-9.8,16,11,15,25,44,52,37,31,30,14,12,14,4.91,41.9,-44.3,2784,1731.7,-11.8,19.9,301
48.867,-108.95,-10.7,-7.7,-1.9,5.3,11.1,16.1,19,18.2,11.8,6.1,-3,-9.4,19,14,18,27,54,54,46,33,39,15,17,20,4.58,40.4,-46,2630.2,1592.5,-10.7,19,356
48.867,-108.667,-10.8,-7.9,-1.7,5.5,11.4,16.4,19.3,18.4,12,6.2,-3.1,-9.5,17,15,16,25,54,54,45,32,38,14,15,17,4.68,41,-45.8,2679.8,1637.6,-10.8,19.3,342
48.867,-108.467,-10.9,-8,-1.7,5.6,11.5,16.5,19.4,18.4,12.1,6.2,-3.2,-9.5,15,15,14,24,55,53,45,31,38,14,15,16,4.7,41.2,-46,2694.4,1651.6,-10.9,19.4,335
48.917,-108.133,-11.9,-8.7,-2.2,5.6,11.7,16.6,19.6,18.7,12.3,6.2,-3.3,-10.2,14,13,14,22,52,55,46,30,34,14,13,14,4.53,41.8,-46,2720.2,1682.2,-11.9,19.6,321
48.833,-107.783,-12.5,-8.9,-2.5,5.5,11.7,16.5,19.8,18.8,12.4,6.3,-3.2,-10.4,13,11,14,23,51,61,46,31,29,15,12,11,4.46,41.9,-45.8,2727.8,1691.6,-12.5,19.8,317
48.75,-107.583,-12.6,-8.9,-2.5,5.5,11.6,16.5,19.9,19,12.5,6.5,-3.2,-10.3,11,9,13,23,51,64,47,32,28,15,10,10,4.5,42.2,-45.8,2742.8,1704.7,-12.6,19.9,313
48.733,-107.283,-12.8,-9.1,-2.8,5.3,11.4,16.3,19.8,18.8,12.2,6.3,-3.4,-10.5,13,10,14,22,52,63,48,31,27,15,10,11,4.29,41.9,-45.2,2697.4,1666.7,-12.8,19.8,316
48.8,-107.083,-13.4,-9.8,-3.3,5.1,11.5,16.2,19.7,18.7,12,6.1,-3.7,-11,16,12,15,21,52,61,49,30,27,15,10,13,4.01,42,-44.9,2669,1647.4,-13.4,19.7,321
48.883,-106.8,-13.8,-10.2,-3.6,4.8,11.3,16,19.5,18.4,11.8,5.9,-4,-11.3,18,13,16,21,55,60,51,32,30,15,11,16,3.73,41.9,-44.9,2618,1605.5,-13.8,19.5,338
48.883,-106.533,-13.4,-10,-3.6,4.4,10.8,15.6,18.9,17.7,11.4,5.8,-4,-11,19,14,18,20,59,61,51,34,33,16,12,20,3.55,40.8,-44.9,2524.6,1518.7,-13.4,18.9,357
48.867,-106.233,-13.3,-9.7,-3.5,4.4,10.8,15.7,18.9,17.8,11.5,5.9,-3.9,-10.8,19,13,19,21,60,62,50,36,34,16,13,20,3.65,40.7,-44.6,2537.5,1529.6,-13.3,18.9,363
47.8,-103.167,-12.6,-8.8,-2.1,5.9,12.6,17.7,21,20,13.4,7.1,-2.5,-10.1,11,10,15,35,52,79,54,43,37,23,12,11,5.13,42.7,-43,2939.4,1883.8,-12.6,21,382
47.967,-102.7,-12.9,-9.2,-2.5,5.7,12.4,17.4,20.7,19.7,13.2,6.8,-2.7,-10.3,13,11,16,37,53,80,56,44,39,23,13,12,4.86,42.3,-42.4,2880.3,1833.9,-12.9,20.7,397
47.967,-102.033,-13.5,-10,-3.3,5.3,12.1,17.4,20.6,19.5,13.1,6.7,-2.9,-10.7,15,13,19,42,57,82,61,49,43,25,16,14,4.53,42.3,-41.6,2837.8,1803.4,-13.5,20.6,436
47.967,-101.733,-13.6,-10.1,-3.5,5.3,12.1,17.4,20.6,19.5,13,6.7,-2.9,-10.8,16,13,20,43,57,82,61,50,44,25,16,14,4.48,42.1,-41.4,2833.6,1800.3,-13.6,20.6,441
47.967,-101.217,-13.9,-10.3,-3.6,5.1,12,17.5,20.7,19.6,13,6.8,-3,-10.8,16,12,20,43,56,80,59,52,46,25,17,14,4.43,42.1,-41.1,2835.9,1805.2,-13.9,20.7,440
66.167,-127.5,-29.2,-27.5,-21.3,-8.9,3.5,13,15.4,12.2,5.2,-6,-20.8,-26.3,17,14,12,14,16,35,47,46,27,26,18,18,-7.56,34,-52.8,1429.3,770.2,-29.2,15.4,290
65.833,-126.167,-28.4,-27.1,-21.2,-9.3,2.9,11.7,14.2,11.4,4.5,-6.1,-20.3,-25.8,18,15,13,14,17,39,50,49,27,24,18,18,-7.79,32,-54.7,1296.1,653.8,-28.4,14.2,302
65.75,-128.167,-29.6,-27.2,-20.7,-8,4.2,13.8,15.9,12.4,5.3,-6,-21.1,-26.4,19,15,13,16,17,36,50,49,29,30,21,20,-7.28,34.5,-54.1,1495.5,825.7,-29.6,15.9,315
64.833,-123.5,-28.7,-26,-19.4,-7,4.1,12,14.5,12.1,5.1,-4.6,-18.8,-25.3,17,12,12,14,20,41,48,46,28,29,19,17,-6.83,36,-57.7,1387.7,714.2,-28.7,14.5,303
64.417,-122.7,-28.8,-25.8,-18.9,-6.5,4.5,12.2,14.7,12.2,5.2,-4.4,-18.5,-25.2,17,13,13,14,21,41,48,46,28,30,20,17,-6.61,36,-58,1417.7,736,-28.8,14.7,308
64.4,-123.5,-28.7,-25.9,-19.1,-6.6,4.4,12.1,14.4,11.9,4.9,-4.9,-19.1,-25.4,19,14,14,15,21,45,52,48,28,30,20,18,-6.83,35.4,-59.4,1383.2,708.7,-28.7,14.4,324
62.333,-122.233,-27.6,-23.8,-16.4,-4.1,5.6,12.4,14.5,12.2,5.7,-3.6,-17.3,-24.9,23,19,20,20,32,52,63,55,31,34,25,21,-5.61,34.5,-59.8,1473.6,760.7,-27.6,14.5,395
63.817,-120.433,-29.2,-25.5,-19.3,-7,3.9,11.8,14.7,12.3,5.3,-3.5,-17.4,-24.9,17,15,16,13,20,32,43,43,26,29,24,19,-6.57,35.8,-60.1,1399.9,721.2,-29.2,14.7,297
63.883,-122.617,-29.1,-25.8,-18.9,-6.3,4.3,12,14.3,11.8,4.8,-4.8,-18.9,-25.5,20,15,16,16,23,45,52,48,27,30,21,19,-6.84,35.3,-61.2,1370,696.8,-29.1,14.3,332
62.75,-122.967,-28.1,-24.4,-16.5,-3.1,7.1,14.3,16.3,13.8,7,-2.7,-16.7,-25.3,18,14,14,16,27,45,53,48,29,32,21,19,-4.86,36.9,-56.1,1728.8,977,-28.1,16.3,336
63.217,-122.967,-28.7,-25.2,-17.8,-4.8,5.6,12.8,15,12.4,5.4,-4.2,-18.4,-25.5,20,15,16,17,26,47,55,49,28,30,21,20,-6.12,35.9,-60.6,1492.5,789.5,-28.7,15,344
63.617,-122.733,-29,-25.5,-18.2,-5.3,5.2,12.8,15.1,12.5,5.4,-4.2,-18.4,-25.5,19,14,15,16,24,44,52,47,28,30,21,19,-6.26,35.9,-59.6,1485.8,789.1,-29,15.1,329
62.167,-121.05,-28.1,-23.3,-16,-3.5,6.7,13.5,15.9,13.4,6.4,-2.5,-16.7,-24.2,20,18,19,17,28,43,52,48,28,33,25,20,-4.87,35.4,-57.2,1649.5,907.7,-28.1,15.9,351
62.433,-114.35,-27.9,-24.5,-18.4,-6,5.2,13.1,16.4,14.1,6.8,-1.2,-14.5,-24,16,14,11,11,17,24,36,42,29,35,26,16,-5.08,35.5,-55.7,1645.1,914.4,-27.9,16.4,277
61.2,-120.05,-25.5,-21,-14,-1.4,8,14,16.2,13.8,7.4,-1.2,-15.2,-22.5,20,18,19,17,30,44,55,48,29,29,25,20,-3.45,35.9,-54.5,1785.4,996.4,-25.5,16.2,354
60.583,-116.2,-25.4,-21.8,-15.1,-2.8,7.4,13.3,15.9,13.9,7.6,0.1,-13.9,-22.1,21,18,18,19,30,46,51,52,34,22,28,19,-3.58,35.4,-53.8,1750.2,960.3,-25.4,15.9,358
55.633,-116.75,-18.4,-11.9,-6.9,3.1,10,13.7,15.4,14.3,9,3.9,-7.2,-15.2,33,25,22,20,34,77,67,63,43,24,32,31,0.82,35,-49.3,2054.5,1111.2,-18.4,15.4,471
55.25,-114.667,-16.1,-12,-6,2.9,9.3,13.4,15.5,14.2,8.9,3.7,-6.9,-14,26,18,21,20,43,91,98,69,48,25,21,27,1.08,34.5,-48.8,2013.3,1075.4,-16.1,15.5,507
55.083,-113.667,-17.7,-12.6,-6.6,3.1,9.6,13.6,15.7,14.4,8.9,3.6,-7.2,-14.5,29,22,22,22,45,87,100,68,43,23,23,28,0.86,34.4,-48.5,2041.7,1103.2,-17.7,15.7,512
54.5,-112.75,-17.5,-12.3,-7.1,2.7,9.5,13.3,15.4,14.1,9.2,4,-7,-13.9,26,24,22,22,45,81,96,73,48,19,23,27,0.87,34.3,-48.9,2020.3,1082.4,-17.5,15.4,506
54.333,-111.167,-17.9,-13.4,-7.5,2.9,10.1,14.2,16.1,15,9.2,4.2,-6.8,-15,24,16,19,22,45,72,87,68,47,16,19,21,0.93,35.3,-47.9,2124.7,1179.9,-17.9,16.1,456
51.8,-114.833,-11.2,-7,-3.1,2.6,7.8,11.5,13.8,13.5,8.5,4.3,-4,-10,19,14,22,35,70,100,100,65,57,25,18,18,2.23,34.8,-47.7,1845.7,893.4,-11.2,13.8,543
53.267,-117.767,-11.2,-7.9,-3.5,2.5,7.5,11.4,13.6,12.9,8.2,3.8,-5.2,-10,41,30,31,31,53,81,89,72,56,29,32,31,1.84,34.1,-50.8,1779,843.7,-11.2,13.6,576
53.583,-117.133,-11.4,-7.8,-3.5,3.1,8.2,12.2,14.3,13.6,8.8,4.2,-5,-9.7,33,20,26,28,63,95,108,83,60,23,19,24,2.25,34.2,-48.7,1912.5,955,-11.4,14.3,582
53.6,-116.1,-13.2,-9.3,-4,3.4,8.7,12.6,14.7,13.7,8.7,3.8,-5.7,-11.9,27,16,22,22,59,105,110,79,59,19,18,24,1.79,34.7,-47,1946.4,992.2,-13.2,14.7,560
54.45,-116.833,-12.1,-9,-3.4,4.3,9.7,13.7,15.6,14.5,9.7,4.9,-4.8,-10.4,33,19,22,24,54,95,105,78,53,21,21,28,2.73,34.4,-47.9,2151.2,1159.5,-12.1,15.6,553
55.083,-117.5,-15.4,-10.7,-4,4.1,10.1,13.9,15.9,15,9.9,4.7,-5.2,-12.5,32,23,22,22,41,73,82,72,45,24,28,32,2.15,34.7,-48.8,2185.4,1203.1,-15.4,15.9,496
54.467,-115.667,-14.3,-10.7,-5.3,2.5,8.4,12.1,14.3,13.2,8.1,3.1,-7.1,-13.2,34,26,29,27,53,101,110,82,48,24,28,32,0.93,32.6,-50.3,1831.2,912.6,-14.3,14.3,594
57.5,-117.5,-19.8,-15.8,-8.8,1.8,8.7,13.1,15,13.2,8.2,1.7,-11.6,-16.9,26,19,22,23,36,64,68,60,36,27,26,21,-0.93,34.4,-53.7,1844.7,965.9,-19.8,15,428
53.933,-111.333,-16.3,-13,-6.6,3.3,10.3,14.4,16.3,15.2,9.5,4.1,-6.9,-14.7,24,15,20,23,45,73,82,64,45,17,18,22,1.3,35.6,-48.3,2166.2,1215.5,-16.3,16.3,448
53.55,-114.167,-12,-9.3,-3.8,4.4,10.8,14.4,16.4,15.4,10.4,5.3,-4.7,-10.7,26,20,22,24,49,92,105,76,48,23,21,28,3.05,35.1,-45.2,2291.8,1295.3,-12,16.4,534
