ID,TOWN,TOWNNO,TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
15,Boston Beacon Hill,76,201,-71.07225492,42.35809223,50,50,6.53876,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96
16,Boston Beacon Hill,76,202,-71.06909888,42.36029731,50,50,9.2323,0,18.1,0,0.631,6.216,100,1.1691,24,666,20.2,366.15,9.53
17,Boston Beacon Hill,76,203,-71.06673793,42.36444688,50,50,8.26725,0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,347.88,8.88
18,Boston North End,77,301,-71.05685718,42.36684375,13.8,13.8,11.1081,0,18.1,0,0.668,4.906,100,1.1742,24,666,20.2,396.9,34.77
19,Boston North End,77,302,-71.05804367,42.36442629,13.8,13.8,18.4982,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,396.9,37.97
20,Boston Charlestown,78,401,-71.06068512,42.37248944,15,15,19.6091,0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,396.9,13.44
21,Boston Charlestown,78,402,-71.05762536,42.37676024,13.9,13.9,15.288,0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,363.02,23.24
22,Boston Charlestown,78,403,-71.06282709,42.37803858,13.3,13.3,9.82349,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,396.9,21.24
23,Boston Charlestown,78,404,-71.0666709,42.37398759,13.1,13.1,23.6482,0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,396.9,23.69
24,Boston Charlestown,78,405,-71.06615693,42.37957236,10.2,10.2,17.8667,0,18.1,0,0.671,6.223,100,1.3861,24,666,20.2,393.74,21.78
25,Boston Charlestown,78,406,-71.07462011,42.37968177,10.4,10.4,88.9762,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,396.9,17.21
26,Boston East Boston,79,407,-71.06821638,42.38522193,10.9,10.9,15.8744,0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,396.9,21.08
27,Boston East Boston,79,501,-71.04005741,42.38115626,11.3,11.3,9.18702,0,18.1,0,0.7,5.536,100,1.5804,24,666,20.2,396.9,23.6
28,Boston East Boston,79,502,-71.03604753,42.3777091,12.3,12.3,7.99248,0,18.1,0,0.7,5.52,100,1.5331,24,666,20.2,396.9,24.56
29,Boston East Boston,79,503,-71.04389234,42.37211291,8.8,8.8,20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63
30,Boston East Boston,79,504,-71.03852441,42.36814829,7.2,7.2,16.8118,0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81
31,Boston East Boston,79,506,-71.03806169,42.37191061,10.5,10.5,24.3938,0,18.1,0,0.7,4.652,100,1.4672,24,666,20.2,396.9,28.28
32,Boston East Boston,79,507,-71.03621944,42.37449,7.4,7.4,22.5971,0,18.1,0,0.7,5,89.5,1.5184,24,666,20.2,396.9,31.99
33,Boston East Boston,79,508,-71.03272179,42.3757536,10.2,10.2,14.3337,0,18.1,0,0.7,4.88,100,1.5895,24,666,20.2,372.92,30.62
34,Boston East Boston,79,509,-71.02968694,42.38223778,11.5,11.5,8.15174,0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85
35,Boston East Boston,79,510,-71.01602902,42.38718609,15.1,15.1,6.96215,0,18.1,0,0.7,5.713,97,1.9265,24,666,20.2,394.43,17.11
36,Boston East Boston,79,511,-71.00144805,42.38799218,23.2,23.2,5.29305,0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76
37,Boston East Boston,79,512,-71.01585316,42.36271067,9.7,9.7,11.5779,0,18.1,0,0.7,5.036,97,1.77,24,666,20.2,396.9,25.68
38,Boston South Boston,80,601,-71.02054035,42.33696389,13.8,13.8,8.64476,0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,396.9,15.17
39,Boston South Boston,80,602,-71.03357525,42.33204751,12.7,12.7,13.3598,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,396.9,16.35
40,Boston South Boston,80,603,-71.03759484,42.33309684,13.1,13.1,8.71675,0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12
41,Boston South Boston,80,604,-71.043513,42.33211297,12.5,12.5,5.87205,0,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,396.9,19.37
42,Boston South Boston,80,605,-71.03874008,42.33919997,8.5,8.5,7.67202,0,18.1,0,0.693,5.747,98.9,1.6334,24,666,20.2,393.1,19.92
43,Boston South Boston,80,606,-71.03635421,42.34965606,5,5,38.3518,0,18.1,0,0.693,5.453,100,1.4896,24,666,20.2,396.9,30.59
44,Boston South Boston,80,607,-71.05451672,42.33839613,6.3,6.3,9.91655,0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,338.16,29.97
45,Boston South Boston,80,608,-71.05418638,42.33497418,5.6,5.6,25.0461,0,18.1,0,0.693,5.987,100,1.5888,24,666,20.2,396.9,26.77
46,Boston South Boston,80,609,-71.05037148,42.335623,7.2,7.2,14.2362,0,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,396.9,20.32
47,Boston South Boston,80,610,-71.05061245,42.33133933,12.1,12.1,9.59571,0,18.1,0,0.693,6.404,100,1.639,24,666,20.2,376.11,20.31
48,Boston South Boston,80,612,-71.05574956,42.32950034,8.3,8.3,24.8017,0,18.1,0,0.693,5.349,96,1.7028,24,666,20.2,396.9,19.77
49,Boston South Boston,80,613,-71.0588388,42.33308699,8.5,8.5,41.5292,0,18.1,0,0.693,5.531,85.4,1.6074,24,666,20.2,329.46,27.38
50,Boston South Boston,80,614,-71.05644807,42.34232978,5,5,67.9208,0,18.1,0,0.693,5.683,100,1.4254,24,666,20.2,384.97,22.98
51,Boston Downtown,81,702,-71.06472717,42.34935224,11.9,11.9,20.7162,0,18.1,0,0.659,4.138,100,1.1781,24,666,20.2,370.22,23.34
52,Boston Downtown,81,703,-71.07085908,42.34969228,27.9,27.9,11.9511,0,18.1,0,0.659,5.608,100,1.2852,24,666,20.2,332.09,12.13
53,Boston Downtown,81,705,-71.07267218,42.34178974,17.2,17.2,7.40389,0,18.1,0,0.597,5.617,97.9,1.4547,24,666,20.2,314.64,26.4
54,Boston Downtown,81,706,-71.07611941,42.34310018,27.5,27.5,14.4383,0,18.1,0,0.597,6.852,100,1.4655,24,666,20.2,179.36,19.78
55,Boston Downtown,81,707,-71.07665845,42.34583021,15,15,51.1358,0,18.1,0,0.597,5.757,100,1.413,24,666,20.2,2.6,10.11
56,Boston Downtown,81,708,-71.08167332,42.34095639,17.2,17.2,14.0507,0,18.1,0,0.597,6.657,100,1.5275,24,666,20.2,35.05,21.22
57,Boston Downtown,81,709,-71.07880683,42.33825194,17.9,17.9,18.811,0,18.1,0,0.597,4.628,100,1.5539,24,666,20.2,28.79,34.37
58,Boston Downtown,81,710,-71.07068898,42.33603575,16.3,16.3,28.6558,0,18.1,0,0.597,5.155,100,1.5894,24,666,20.2,210.97,20.08
59,Boston Roxbury,82,801,-71.0698916,42.32987429,7,7,45.7461,0,18.1,0,0.693,4.519,100,1.6582,24,666,20.2,88.27,36.98
60,Boston Roxbury,82,802,-71.07582018,42.32528119,7.2,7.2,18.0846,0,18.1,0,0.679,6.434,100,1.8347,24,666,20.2,27.25,29.05
61,Boston Roxbury,82,803,-71.07982525,42.32721753,7.5,7.5,10.8342,0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79
62,Boston Roxbury,82,805,-71.08362638,42.33460541,10.4,10.4,25.9406,0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64
63,Boston Roxbury,82,807,-71.08828146,42.33084888,8.8,8.8,73.5341,0,18.1,0,0.679,5.957,100,1.8026,24,666,20.2,16.45,20.62
64,Boston Roxbury,82,808,-71.09852701,42.33343296,8.4,8.4,11.8123,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74
65,Boston Roxbury,82,809,-71.10237677,42.33214711,16.7,16.7,11.0874,0,18.1,0,0.718,6.411,100,1.8589,24,666,20.2,318.75,15.02
66,Boston Roxbury,82,810,-71.10771812,42.33460434,14.2,14.2,7.02259,0,18.1,0,0.718,6.006,95.3,1.8746,24,666,20.2,319.98,15.7
67,Boston Roxbury,82,811,-71.10980381,42.32808513,20.8,20.8,12.0482,0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,291.55,14.1
68,Boston Roxbury,82,812,-71.10477909,42.32441669,13.4,13.4,7.05042,0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,2.52,23.29
69,Boston Roxbury,82,813,-71.09831341,42.3192465,11.7,11.7,8.79212,0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,3.65,17.16
70,Boston Roxbury,82,814,-71.09572673,42.32817281,8.3,8.3,15.8603,0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39
71,Boston Roxbury,82,815,-71.09350104,42.32070205,10.2,10.2,12.2472,0,18.1,0,0.584,5.837,59.7,1.9976,24,666,20.2,24.65,15.69
72,Boston Roxbury,82,816,-71.09056859,42.32699624,10.9,10.9,37.6619,0,18.1,0,0.679,6.202,78.7,1.8629,24,666,20.2,18.82,14.52
73,Boston Roxbury,82,817,-71.08689608,42.32244913,11,11,7.36711,0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,96.73,21.52
74,Boston Roxbury,82,818,-71.08079905,42.32013753,9.5,9.5,9.33889,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,60.72,24.08
75,Boston Roxbury,82,819,-71.09032829,42.31528457,14.5,14.5,8.49213,0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,83.45,17.64
76,Boston Roxbury,82,820,-71.08473276,42.31346748,14.1,14.1,10.0623,0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,81.33,19.69
77,Boston Roxbury,82,821,-71.08773954,42.30919545,16.1,16.1,6.44405,0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,97.95,12.03
78,Boston Savin Hill,83,901,-71.08233678,42.30211358,14.3,14.3,5.58107,0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22
79,Boston Savin Hill,83,902,-71.07958549,42.30694184,11.7,11.7,13.9134,0,18.1,0,0.713,6.208,95,2.2222,24,666,20.2,100.63,15.17
80,Boston Savin Hill,83,903,-71.07707027,42.31077686,13.4,13.4,11.1604,0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,109.85,23.27
81,Boston Savin Hill,83,904,-71.07612627,42.31545542,9.6,9.6,14.4208,0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,27.49,18.05
82,Boston Savin Hill,83,905,-71.07420658,42.31907985,8.7,8.2,15.1772,0,18.1,0,0.74,6.152,100,1.9142,24,666,20.2,9.32,26.45
83,Boston Savin Hill,83,906,-71.07284948,42.32274715,8.4,8.4,13.6781,0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02
84,Boston Savin Hill,83,907,-71.06191463,42.32452943,12.8,12.8,9.39063,0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,396.9,22.88
85,Boston Savin Hill,83,908,-71.05563863,42.32149139,10.5,10.5,22.0511,0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11
86,Boston Savin Hill,83,910,-71.04994408,42.30888784,17.1,17.1,9.72418,0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,385.96,19.52
87,Boston Savin Hill,83,911,-71.05636418,42.31534417,18.4,14.8,5.66637,0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,395.69,16.59
88,Boston Savin Hill,83,912,-71.06274746,42.31618791,15.4,15.4,9.96654,0,18.1,0,0.74,6.485,100,1.9784,24,666,20.2,386.73,18.85
89,Boston Savin Hill,83,913,-71.0672696,42.31970411,10.8,10.8,12.8023,0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79
90,Boston Savin Hill,83,914,-71.07036956,42.31508634,11.8,11.8,10.6718,0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,43.06,23.98
91,Boston Savin Hill,83,915,-71.06506084,42.31134211,14.9,14.9,6.28807,0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79
92,Boston Savin Hill,83,916,-71.06148822,42.3058917,12.6,12.6,9.92485,0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,388.52,16.44
93,Boston Savin Hill,83,917,-71.06647616,42.30355756,14.1,14.1,9.32909,0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,396.9,18.13
94,Boston Savin Hill,83,918,-71.07126619,42.3071236,13,13,7.52601,0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,304.21,19.31
95,Boston Savin Hill,83,919,-71.07590884,42.30052996,13.4,13.4,6.71772,0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,0.32,17.44
96,Boston Savin Hill,83,920,-71.06784308,42.29964203,15.2,15.2,5.44114,0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,355.29,17.73
97,Boston Savin Hill,83,921,-71.05376526,42.29841517,16.1,16.1,5.09017,0,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,385.09,17.27
98,Boston Savin Hill,83,922,-71.06677395,42.29482581,17.8,17.8,8.24809,0,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,375.87,16.74
99,Boston Savin Hill,83,923,-71.07547374,42.29379081,14.9,14.4,9.51363,0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,6.68,18.71
100,Boston Savin Hill,83,924,-71.0855277,42.29590798,14.1,14.1,4.75237,0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13
101,Boston Dorchester,84,1001,-71.08666441,42.289835,12.7,12.7,4.66883,0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,10.48,19.01
102,Boston Dorchester,84,1002,-71.08629171,42.28466539,13.5,13.5,8.20058,0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,3.5,16.94
103,Boston Dorchester,84,1003,-71.08025397,42.28260832,14.9,14.9,7.75223,0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23
104,Boston Dorchester,84,1004,-71.07114134,42.28177478,20,20,6.80117,0,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,396.9,14.7
105,Boston Dorchester,84,1005,-71.07130153,42.28820915,16.4,16.4,4.81213,0,18.1,0,0.713,6.701,90,2.5975,24,666,20.2,255.23,16.42
106,Boston Dorchester,84,1006,-71.04731477,42.2913655,17.7,17.7,3.69311,0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65
107,Boston Dorchester,84,1007,-71.04937164,42.2823212,19.5,19.5,6.65492,0,18.1,0,0.713,6.317,83,2.7344,24,666,20.2,396.9,13.99
108,Boston Dorchester,84,1008,-71.06109391,42.27767237,20.2,20.2,5.82115,0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29
109,Boston Dorchester,84,1009,-71.0749884,42.27358822,21.4,21.4,7.83932,0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22
110,Boston Dorchester,84,1010,-71.09482381,42.273436,19.9,19.9,3.1636,0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,334.4,14.13
111,Boston Dorchester,84,1011,-71.09388153,42.28032599,19,19,3.77498,0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,22.01,17.15
112,Boston Mattapan,85,1101,-71.10199952,42.29693791,19.1,19.1,4.42228,0,18.1,0,0.584,6.003,94.5,2.5403,24,666,20.2,331.29,21.32
113,Boston Mattapan,85,1102,-71.11164712,42.28066913,19.1,19.1,15.5757,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,368.74,18.13
114,Boston Mattapan,85,1103,-71.11382642,42.28690008,20.1,20.1,13.0751,0,18.1,0,0.58,5.713,56.7,2.8237,24,666,20.2,396.9,14.76
115,Boston Mattapan,85,1104,-71.12564523,42.28071571,19.9,19.9,4.34879,0,18.1,0,0.58,6.167,84,3.0334,24,666,20.2,396.9,16.29
116,Boston Mattapan,85,1105,-71.13734869,42.28219079,19.6,19.6,4.03841,0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87
117,Boston Mattapan,85,1106,-71.13718799,42.29326352,23.2,23.2,3.56868,0,18.1,0,0.58,6.437,75,2.8965,24,666,20.2,393.37,14.36
118,Boston Forest Hills,86,1201,-71.12470464,42.30779451,29.8,29.8,4.64689,0,18.1,0,0.614,6.98,67.6,2.5329,24,666,20.2,374.68,11.66
119,Boston Forest Hills,86,1202,-71.10900003,42.30513811,13.8,13.8,8.05579,0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14
120,Boston Forest Hills,86,1203,-71.10227537,42.31223756,13.3,13.3,6.39312,0,18.1,0,0.584,6.162,97.4,2.206,24,666,20.2,302.76,24.1
121,Boston Forest Hills,86,1204,-71.11201606,42.31392711,16.7,16.7,4.87141,0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68
122,Boston Forest Hills,86,1205,-71.10473105,42.32043864,12,12,15.0234,0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,349.48,24.91
123,Boston Forest Hills,86,1206,-71.10959576,42.31906414,14.6,14.6,10.233,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,379.7,18.03
124,Boston Forest Hills,86,1207,-71.11310706,42.32389022,21.4,21.4,14.3337,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,383.32,13.11
125,Boston West Roxbury,87,1301,-71.17169536,42.28978505,23,23,5.82401,0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,396.9,10.74
126,Boston West Roxbury,87,1302,-71.15729136,42.28702885,23.7,23.7,5.70818,0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,393.07,7.74
127,Boston West Roxbury,87,1303,-71.15049824,42.27859475,25,25,5.73116,0,18.1,0,0.532,7.061,77,3.4106,24,666,20.2,395.28,7.01
128,Boston West Roxbury,87,1304,-71.16017423,42.26803602,21.8,21.8,2.81838,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,392.92,10.42
129,Boston Hyde Park,88,1401,-71.13498806,42.25788726,20.6,20.6,2.37857,0,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,370.73,13.34
130,Boston Hyde Park,88,1402,-71.12379912,42.24330403,21.2,21.2,3.67367,0,18.1,0,0.583,6.312,51.9,3.9917,24,666,20.2,388.62,10.58
131,Boston Hyde Park,88,1403,-71.1193587,42.25885742,19.1,19.1,5.69175,0,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,392.68,14.98
132,Boston Hyde Park,88,1404,-71.11165664,42.26933863,20.6,20.6,4.83567,0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45
133,Chelsea,89,1601,-71.02921992,42.38876848,15.2,15.2,0.15086,0,27.74,0,0.609,5.454,92.7,1.8209,4,711,20.1,395.09,18.06
134,Chelsea,89,1602,-71.03913389,42.38737685,7,7,0.18337,0,27.74,0,0.609,5.414,98.3,1.7554,4,711,20.1,344.05,23.97
135,Chelsea,89,1604,-71.04203695,42.3952149,8.1,8.1,0.20746,0,27.74,0,0.609,5.093,98,1.8226,4,711,20.1,318.43,29.68
136,Chelsea,89,1605,-71.02343976,42.39651839,13.6,13.6,0.10574,0,27.74,0,0.609,5.983,98.8,1.8681,4,711,20.1,390.11,18.07
137,Chelsea,89,1606,-71.03063796,42.40488625,20.1,20.1,0.11132,0,27.74,0,0.609,5.983,83.5,2.1099,4,711,20.1,396.9,13.35
138,Revere,90,1701,-71.022788,42.41043483,21.8,21.8,0.17331,0,9.69,0,0.585,5.707,54,2.3817,6,391,19.2,396.9,12.01
139,Revere,90,1702,-71.02053775,42.41666424,24.5,24.5,0.27957,0,9.69,0,0.585,5.926,42.6,2.3817,6,391,19.2,396.9,13.59
140,Revere,90,1703,-71.01566268,42.43088894,23.1,23.1,0.17899,0,9.69,0,0.585,5.67,28.8,2.7986,6,391,19.2,393.29,17.6
141,Revere,90,1704,-70.99797713,42.42310032,19.7,19.7,0.2896,0,9.69,0,0.585,5.39,72.9,2.7986,6,391,19.2,396.9,21.14
142,Revere,90,1705,-70.98045215,42.42789021,18.3,18.3,0.26838,0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,396.9,14.1
143,Revere,90,1706,-71.00908278,42.40734522,21.2,21.2,0.23912,0,9.69,0,0.585,6.019,65.3,2.4091,6,391,19.2,396.9,12.92
144,Revere,90,1707,-70.99872122,42.40245453,17.5,17.5,0.17783,0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,395.77,15.1
145,Revere,90,1708,-70.98738063,42.39584023,16.8,16.8,0.22438,0,9.69,0,0.585,6.027,79.7,2.4982,6,391,19.2,396.9,14.33
146,Winthrop,91,1801,-70.97787451,42.38598342,22.4,22.4,0.06263,0,11.93,0,0.573,6.593,69.1,2.4786,1,273,21,391.99,9.67
147,Winthrop,91,1802,-70.98806273,42.38004162,20.6,20.6,0.04527,0,11.93,0,0.573,6.12,76.7,2.2875,1,273,21,396.9,9.08
148,Winthrop,91,1803,-70.99544009,42.37000063,23.9,23.9,0.06076,0,11.93,0,0.573,6.976,91,2.1675,1,273,21,396.9,5.64
149,Winthrop,91,1804,-70.97787318,42.37474593,22,22,0.10959,0,11.93,0,0.573,6.794,89.3,2.3889,1,273,21,393.45,6.48
150,Winthrop,91,1805,-70.97375522,42.36690886,11.9,19,0.04741,0,11.93,0,0.573,6.03,80.8,2.505,1,273,21,396.9,7.88
151,Nahant,0,2011,-70.92746691,42.42982256,24,24,0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98
152,Swampscott,1,2021,-70.91548546,42.47929056,21.6,21.6,0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14
153,Swampscott,1,2022,-70.8978883,42.47085838,34.7,34.7,0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03
154,Marblehead,2,2031,-70.8797408,42.48837835,33.4,33.4,0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94
155,Marblehead,2,2032,-70.86917012,42.4985581,36.2,36.2,0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33
156,Marblehead,2,2033,-70.85985815,42.51128282,28.7,28.7,0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21
157,Salem,3,2041,-70.89597395,42.49809107,22.9,22.9,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43
158,Salem,3,2042,-70.89699669,42.51585893,27.1,22.1,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15
159,Salem,3,2043,-70.88647683,42.51705545,16.5,16.5,0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93
160,Salem,3,2044,-70.87616861,42.52860806,18.9,18.9,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1
161,Salem,3,2045,-70.89129803,42.53001629,15,15,0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45
162,Salem,3,2046,-70.90479422,42.53327326,18.9,18.9,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27
163,Salem,3,2047,-70.92074778,42.5036594,21.7,21.7,0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71
164,Lynn,4,2051,-70.94271504,42.48655074,20.4,20.4,0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26
165,Lynn,4,2052,-70.95337604,42.48015171,18.2,18.2,0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26
166,Lynn,4,2053,-70.96320697,42.49026152,19.9,19.9,0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47
167,Lynn,4,2054,-70.98684899,42.4928257,23.1,23.1,1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58
168,Lynn,4,2055,-70.9617579,42.4750205,17.5,17.5,0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67
169,Lynn,4,2056,-70.98664576,42.46957071,20.2,20.2,0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69
170,Lynn,4,2057,-70.9786722,42.4655955,18.2,18.2,0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28
171,Lynn,4,2058,-70.97457536,42.45867983,13.6,13.6,1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02
172,Lynn,4,2059,-70.96933794,42.46858105,19.6,19.6,0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83
