30,ozone,4.88,5.32,5.63,5.75,5.94,6.09,6.09,6.14,6.51,6.61,6.68,6.64,6.74
31,ozone,3.8,4.16,4.45,4.89,5.05,5.06,5.06,5.13,5.32,5.46,5.46,5.42,5.49
32,ozone,4.46,4.62,5,5.4,5.49,5.68,5.72,5.95,6.13,6.32,6.33,6.33,6.3
33,ozone,4.29,4.82,5.32,5.46,5.5,5.54,5.54,5.54,5.6,5.57,5.55,5.55,5.55
34,ozone,4.06,4.58,4.81,5.12,5.27,5.48,5.51,5.58,5.93,6.36,6.17,6.07,6.13
35,ozone,5.16,5.43,5.71,6.08,6.21,6.37,6.38,6.41,6.64,6.82,6.89,7.11,7.14
36,ozone,3.81,4.12,4.42,4.62,4.6,4.74,4.76,4.94,5.1,5.21,5.23,5.22,5.23
37,ozone,5.09,5.62,5.9,6.36,6.49,6.72,6.72,6.74,6.87,6.87,6.87,6.83,6.97
38,ozone,4.13,4.71,5.27,5.56,5.72,6.06,6.06,6.21,6.44,6.66,6.71,6.65,6.64
39,ozone,4.85,5.36,5.52,5.96,6.13,6.22,6.24,6.41,6.58,6.78,6.83,6.82,6.8
40,ozone,4.11,4.62,4.95,5.28,5.43,5.8,5.8,5.87,6.2,6.44,6.44,6.4,6.44
41,ozone,4.95,5.39,5.82,6.42,6.48,6.61,6.61,6.66,6.73,6.83,6.9,6.83,6.63
42,ozone,4.36,4.65,5.04,5.38,5.47,5.48,5.48,5.47,5.84,5.97,5.93,5.95,6.01
43,ozone,4.05,4.65,5.09,5.44,5.6,5.79,5.8,6.07,6.14,6.3,6.32,6.34,6.42
44,ozone,3.76,4.27,4.59,5.1,5.25,5.41,5.44,5.48,5.93,5.97,6.08,6.29,6.24
45,ozone,2.84,3.25,3.69,4.16,4.21,4.3,4.3,4.45,4.59,4.74,4.84,4.64,4.64
46,ozone,4.33,4.8,5.09,5.42,5.61,5.85,5.88,6.01,6.22,6.45,6.55,6.55,6.55
47,ozone,3.99,4.55,4.91,5.26,5.3,5.69,5.69,5.9,5.89,5.98,6.05,6.25,6.25
48,ozone,3.5,3.75,3.97,4.71,4.85,5.01,5.02,5.27,5.45,5.59,5.67,5.83,5.86
49,ozone,3.31,3.45,4.16,4.48,4.54,4.72,4.74,4.93,5.07,5.26,5.26,5.35,5.35
50,ozone,3.03,3.55,3.97,4.4,4.58,4.47,4.47,4.66,4.8,5.1,5.08,5.12,5.12
51,ozone,3.27,3.83,4.44,4.8,4.89,5.08,5.09,5.34,5.63,5.81,5.93,5.94,5.94
52,ozone,3.56,4.18,4.7,5.27,5.28,5.5,5.5,5.77,5.98,6.05,6.19,6.14,6.14
53,ozone,3.39,3.73,3.92,4.11,4.15,4.49,4.52,4.82,5.18,5.26,5.32,5.28,5.28
54,ozone,3.72,4.16,4.55,5.03,5.02,5.16,5.16,5.28,5.52,5.7,5.7,5.67,5.67
55,control,4.53,5.05,5.18,5.41,5.42,5.71,5.71,5.96,6.17,6.34,6.44,6.46,6.43
56,control,4.97,5.32,5.83,6.29,6.45,6.61,6.61,6.79,7.13,7.24,7.32,7.29,7.35
57,control,4.37,4.81,5.03,5.19,5.4,5.57,5.59,5.82,6.03,6.17,6.32,6.25,6.29
58,control,4.58,4.99,5.37,5.68,5.93,6.14,6.17,6.43,6.56,6.69,6.81,6.82,6.76
59,control,4,4.5,4.92,5.44,5.87,6.02,6.04,6.11,6.47,6.61,6.66,6.7,6.65
60,control,4.73,5.05,5.33,5.92,6.01,6.26,6.26,6.36,6.49,6.63,6.92,6.92,6.92
61,control,5.15,5.63,6.11,6.39,6.61,6.82,6.82,6.95,7.11,7.44,7.53,7.46,7.56
62,control,4.1,4.46,4.84,5.29,5.48,5.68,5.68,5.85,5.99,6.08,6.25,6.15,6.18
63,control,3.22,3.85,4.47,4.85,5.11,5.28,5.28,5.45,5.74,5.95,6.05,6.07,6.02
64,control,2.23,2.89,3.16,3.4,3.52,3.89,3.93,4.22,4.51,4.65,4.7,4.73,4.68
65,control,3.65,4.36,4.76,5.18,5.44,5.7,5.7,5.89,6.09,6.39,6.57,6.36,6.44
66,control,3.4,3.92,4.5,4.97,5.14,5.34,5.35,5.61,5.83,6.03,6.09,5.98,5.95
67,control,5.16,5.49,5.74,6.05,6.21,6.37,6.37,6.52,6.65,6.86,6.87,6.88,6.84
68,control,4.04,4.52,5.15,5.59,5.87,5.96,5.96,6.17,6.37,6.53,6.6,6.52,6.59
69,control,4.52,4.91,5.04,5.71,5.97,6.11,6.12,6.24,6.44,6.54,6.65,6.63,6.64
70,control,4.56,5.12,5.4,5.69,5.89,6.16,6.17,6.13,6.44,6.72,6.81,6.87,6.8
71,control,4.9,5.35,5.71,6.12,6.25,6.39,6.39,6.52,6.86,7.05,7.09,6.9,6.88
72,control,4.83,5.1,5.43,5.59,6.04,6.21,6.21,6.46,6.45,6.59,6.7,6.63,6.66
73,control,5.46,5.79,6.12,6.41,6.63,6.73,6.73,6.77,6.68,6.75,6.75,6.62,6.6
74,control,4.17,4.67,5.16,5.56,5.75,6,6.02,6.14,6.28,6.55,6.66,6.63,6.63
75,control,3.35,4.05,4.51,5.22,5.44,5.79,5.82,6.05,6.29,6.22,6.39,6.47,6.42
76,control,3.33,3.82,4.38,4.99,5.17,5.4,5.4,5.73,5.85,5.75,5.99,6.1,6.15
77,control,3.41,3.68,4.03,4.28,4.54,4.52,4.57,5.01,5.13,5.11,5.3,5.46,5.35
78,control,4.5,4.8,5.28,5.83,6.16,6.33,6.34,6.56,6.63,6.75,6.89,6.96,6.94
79,control,2.99,3.61,4.48,4.91,5.06,5.23,5.25,5.56,5.95,5.98,6.21,6.28,6.34
